,Name,Position,Shoots,Date Born,College,NBA Debut,Experience,Player Image,Height,Weight,Draft Team,Draft Year,Draft Round
100,P.J. Washington, Power Forward and Center, Right,1998-08-23,Kentucky,2019-10-23,4.0,https://www.basketball-reference.com/req/202106291/images/headshots/washipj01.jpg,201.0,104.0,Charlotte Hornets,2019,1st round
101,Kevin Porter Jr.," Point Guard, Shooting Guard, and Small Forward", Left,2000-05-04,USC,2019-10-23,4.0,https://www.basketball-reference.com/req/202106291/images/headshots/porteke02.jpg,193.0,92.0,Milwaukee Bucks,2019,1st round
102,Rui Hachimura, Power Forward, Right,1998-02-08,Gonzaga,2019-10-23,4.0,https://www.basketball-reference.com/req/202106291/images/headshots/hachiru01.jpg,203.0,104.0,Washington Wizards,2019,1st round
103,Mitchell Robinson, Center, Right,1998-04-01,Western Kentucky,2018-10-17,5.0,https://www.basketball-reference.com/req/202106291/images/headshots/robinmi01.jpg,213.0,108.0,New York Knicks,2018,2nd round
104,Kevin Huerter, Shooting Guard and Small Forward, Right,1998-08-27,Maryland,2018-10-17,5.0,https://www.basketball-reference.com/req/202106291/images/headshots/huertke01.jpg,201.0,86.0,Atlanta Hawks,2018,1st round
105,Jonas Valančiūnas, Center, Right,1992-05-06,No College,2012-10-31,11.0,https://www.basketball-reference.com/req/202106291/images/headshots/valanjo01.jpg,211.0,120.0,Toronto Raptors,2011,1st round
106,Caris LeVert, Shooting Guard and Small Forward, Right,1994-08-25,Michigan,2016-12-07,7.0,https://www.basketball-reference.com/req/202106291/images/headshots/leverca01.jpg,198.0,92.0,Indiana Pacers,2016,1st round
107,Luguentz Dort, Small Forward and Shooting Guard, Right,1999-04-19,Arizona State,2019-12-06,4.0,https://www.basketball-reference.com/req/202106291/images/headshots/dortlu01.jpg,190.0,97.0,Not Drafted,Not Drafted,Not Drafted
108,Luke Kennard, Shooting Guard, Left,1996-06-24,Duke,2017-10-20,6.0,https://www.basketball-reference.com/req/202106291/images/headshots/kennalu01.jpg,196.0,93.0,Detroit Pistons,2017,1st round
109,Kentavious Caldwell-Pope, Shooting Guard, Right,1993-02-18,Georgia,2013-10-30,10.0,https://www.basketball-reference.com/req/202106291/images/headshots/caldwke01.jpg,196.0,92.0,Detroit Pistons,2013,1st round
110,Max Strus, Small Forward, Right,1996-03-28,No College,2019-11-22,4.0,https://www.basketball-reference.com/req/202106291/images/headshots/strusma01.jpg,196.0,97.0,Not Drafted,Not Drafted,Not Drafted
111,Tyus Jones, Point Guard, Right,1996-05-10,Duke,2015-11-10,8.0,https://www.basketball-reference.com/req/202106291/images/headshots/jonesty01.jpg,183.0,88.0,Cleveland Cavaliers,2015,1st round
