Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Season
Xavier Moon,SG,28,LAC,4,20,7.2,0.389,0.333,0.000,0.0,16.6,8.4,35.7,0.0,0.0,10.0,21.8,0.0,0.0,0.0,-0.030,-4.1,-1.0,-5.1,0.0,2023
Moses Moody,SG,20,GSW,63,817,10.3,0.603,0.595,0.233,3.8,10.2,7.1,8.2,1.0,0.8,12.0,14.6,0.7,0.6,1.3,0.076,-1.7,-0.9,-2.6,-0.1,2023
Malik Monk,SG,24,SAC,77,1719,16.6,0.587,0.500,0.260,2.1,11.3,6.7,25.0,1.4,1.0,14.1,25.8,2.1,1.2,3.2,0.091,1.6,-1.4,0.3,1.0,2023
Chima Moneke,SF,27,SAC,2,8,-3.5,0.347,0.000,1.000,28.8,0.0,14.3,16.1,0.0,0.0,41.0,26.2,0.0,0.0,0.0,-0.288,-12.7,-8.0,-20.7,0.0,2023
Josh Okogie,SG,24,PHO,72,1350,13.3,0.531,0.476,0.464,8.8,11.9,10.3,10.3,2.0,2.3,11.2,17.7,1.1,1.7,2.8,0.101,-0.8,0.5,-0.2,0.6,2023
Isaac Okoro,SF,22,CLE,76,1652,10.7,0.614,0.483,0.291,3.7,9.6,6.7,7.0,1.7,1.7,9.5,11.9,1.9,2.3,4.2,0.122,-1.9,1.6,-0.3,0.7,2023
Evan Mobley,PF,21,CLE,79,2715,17.9,0.591,0.108,0.321,8.1,22.7,15.4,12.4,1.1,4.0,11.9,20.2,3.7,4.8,8.5,0.151,0.0,1.6,1.7,2.5,2023
Michael Porter Jr.,SF,24,DEN,62,1798,16.8,0.621,0.556,0.147,4.2,17.2,10.9,5.3,1.0,1.4,7.3,22.7,2.6,1.8,4.3,0.116,2.0,-1.8,0.2,1.0,2023
Lester Quinones,SG,22,GSW,4,18,8.6,0.654,0.800,1.200,6.2,12.0,9.2,14.2,2.6,0.0,39.6,29.4,-0.1,0.0,0.0,-0.103,-6.4,-3.7,-10.2,0.0,2023
Immanuel Quickley,SG,23,NYK,81,2344,16.3,0.578,0.485,0.265,2.7,13.1,7.9,17.4,1.7,0.6,8.7,20.9,4.4,2.3,6.7,0.137,1.3,0.4,1.7,2.1,2023
Neemias Queta,C,23,SAC,5,29,17.0,0.607,0.000,0.222,19.8,23.5,21.7,5.0,0.0,6.0,9.2,16.1,0.1,0.0,0.1,0.149,-2.6,-0.8,-3.4,0.0,2023
Trevelin Queen,SG,25,IND,7,70,6.0,0.337,0.517,0.172,12.7,14.2,13.5,11.1,1.4,6.1,18.3,22.9,-0.3,0.1,-0.2,-0.133,-5.6,-1.5,-7.2,-0.1,2023
Payton Pritchard,PG,25,BOS,48,643,10.3,0.536,0.629,0.065,4.3,10.5,7.5,14.0,1.1,0.1,13.7,19.8,-0.1,0.7,0.6,0.045,-2.1,-1.2,-3.4,-0.2,2023
Taurean Prince,PF,28,MIN,54,1192,10.0,0.597,0.512,0.203,1.4,10.8,6.2,9.6,1.1,1.1,14.3,17.3,0.3,1.0,1.3,0.052,-2.6,-0.6,-3.3,-0.4,2023
