Player,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Age,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Fouls Commited Shoot,Fouls Commited Off,Fouls Drawn Shoot,Fouls Drawn Off,PGA,And1,Blkd,Versatility Score,Blocks/Foul Ratio,And1 Efectiveness,AST/TOV Ratio,ORB/DRB,Net Plus Minus,3P Shots Attempted %,2P Shots Attempted %,PF Efficiency,Points per Shot attempted,Starting Percentage
Precious Achiuwa,-0.5418190095384232,-0.05883932374143726,-0.12214937470075148,0.13484455436477044,-0.6793474804009637,-0.4682030190578626,-0.4841433754558194,0.17864559090842788,0.15867042077258267,0.24121322100520884,-0.338385588421784,-0.014765167692735136,0.11001424235467949,-0.4500200340079449,1.1331981271729492,0.6584454809972897,0.9076043685689108,-0.7079182667518449,-0.16814119408531017,0.20538948242060384,0.13686828954177807,-0.09365268196462222,-0.1475745597681405,0.0,0.29579938338675954,-0.2960927792076092,-0.6009417720604073,0.45189011866961837,1.0343332567963448,1.5968287892690352,1.376505644969788,-0.8740445301246769,-0.2646066152007273,0.5239584633734504,0.24803612231884142,0.1350670902491189,-0.34288996989574005,0.08685274655670766,-0.21399047423629397,0.041821570957292165,-0.20812460342672162,-0.6450682666208647,-0.4694589526674092,-0.5830423878608288,-0.6788256458352073,-0.01710705242579008,-0.12239495611146933,-0.5682081999933113,-0.7349708458640668,-0.7587420302637183,-0.11311945457322385,1.5938542012955839,-0.04810355529286142,-0.44815482090038194,0.8863469034129293,-0.3305517033652128,0.04862130410072782,-1.1509441148415005,0.1500200487011383,-0.260117674444827,-0.6777873738067999,0.14148270539506738,-0.47041829998351364,-0.27451932215569125,0.3629017561288096,0.026860347766843165,0.7383036154611899,0.5327588576728385,0.08201932411921294,-0.5813829522190931,0.5813838803425262,-0.06513465146376568,-0.4591762351818352,-0.5160998483961412
Larry Nance Jr.,-0.9382216074925523,-0.352389356473444,-0.6545907406415453,1.681727202474881,-1.022421736354287,-1.0879236332044215,0.06566002942357972,-0.023485495128771454,-0.2374447380768025,1.3330457467915022,1.38344273140919,-0.5159529159171733,-0.45873433561557886,-0.498754015586924,0.8662173540870547,0.4847474865912645,0.6465363326679908,-0.24130203220626673,0.6586035941608719,0.461562078626522,0.7582503240614509,-0.24180013008984427,-0.5028490633548968,0.0,0.4675020141140587,1.2378990006391433,-1.2168807959051715,0.06960791890066195,0.8831542155604565,0.8947461389606967,0.9748200239623207,-0.24552619203367348,0.908224379370977,0.5239584633734504,0.34649155360430967,-1.197600085347089,0.7284936937839983,0.8151325052828747,0.825270711654551,1.3832939176417378,0.34008922971884104,1.7638940733569353,0.9917619774941283,0.5718496020554724,0.938346694842671,0.5041413906150617,-0.060870413923040316,-0.5682081999933113,-0.7349708458640668,-0.7587420302637183,-0.04399935716239794,1.5407822289175581,1.4721272168442605,1.4641417906754388,0.6526519329444129,0.7893772020661798,0.26476888854851616,-0.34992935530439084,-0.4502098169202098,0.31792160209923254,-0.24508050414485702,-0.419693993020045,0.6731056178976695,-0.18748716513779037,0.889547621683107,0.08625100052063556,1.1383776048059173,0.44325107846195716,-0.44402994339008817,-1.247723104033077,1.2477226910714638,0.5235287317329881,1.1312800042007833,-1.0236084873300146
Chuma Okeke,-0.6859654087944702,-0.897553702975742,-0.6955477687908372,-1.5110385832243873,-0.10755705381209194,0.06298607878204517,-0.2006509948148795,-1.0341409253147684,-1.0013811158577595,-0.8748822497985564,-1.291540551185359,-0.6412498529732829,-0.6655520003320364,0.03731978178184648,0.06527503482937082,-0.21004449103283668,-0.13666777503476948,-0.4486870253376348,0.1074404019967504,-0.05078311378531429,0.7582503240614509,0.49893711053626527,-0.8137142539933084,0.0,-1.0134331759088953,-1.3618133841537754,1.4903860763427448,-0.6232785681805719,0.12725900938101734,0.03854778492613719,0.08218531061239404,-0.5132284471465082,0.5731298094933472,0.19898968964182948,0.22342226449747446,-1.1265245026486244,-0.7714434353676355,-0.7454669777017687,-0.7913577997312078,-0.5085260584517112,-0.5997059128164092,0.7314816419378783,-0.23158577798994967,-0.42905678920532203,-0.4478010257383676,-1.476602692940175,-0.3046022541310476,-0.4191118395743058,1.289436076217241,0.8400924173562775,-0.5969601364490056,-0.6086326523924939,-1.5029480576606449,-1.1918257254020899,0.6526519329444129,0.7893772020661798,0.2377504404925426,0.9183440139626996,-0.6880367448079138,-0.7803530233344805,-0.44295148474403695,-0.8513683764162854,0.9085370127555602,1.177740037192516,0.12934576357864275,-1.085441734522048,0.4715876225647048,0.2607352158252441,-0.8949293155409178,1.5181362680782906,-1.518131114434569,0.4660729836360517,-1.1835805533130288,-0.3206539672288063
Royce O'Neale,0.9356815828360583,-0.3104536375117287,-0.019756804327521867,-1.0902865029384368,1.1503818846834262,1.081098516308535,0.5467380086930539,-0.8825426107868689,-0.7184417166796272,-2.0031091931110585,-0.29226518699774,-0.5786013844452281,-0.6138475841529221,-0.2632064379551915,-0.3351961247994711,0.77424414393464,0.5160023147175306,0.7437766851677314,0.6586035941608719,0.461562078626522,-0.36023733807395997,-1.8714220594672855,-0.20678697703259966,0.0,-0.991970347067983,-0.5544492894975889,1.4999355185728962,-1.069274467911021,-0.65383270367107,-0.0128241163159365,-0.25255270689382847,0.17348603336032895,-0.2646066152007273,-0.0609853293434674,-0.7611320483572074,-0.8955288588786152,-0.5571667026316877,1.2312923674121128,0.055447610994665726,-0.5773195121278365,-0.3255989962436279,0.5594129033680354,-0.06167636750604996,-0.12108559189430831,0.7073220747458312,1.0775146779599987,1.1755362512098129,-0.5682081999933113,0.1993708104811521,1.679480502356775,-0.18223955198404987,-0.6086326523924939,0.6221057098428591,0.6597630572348157,-0.7707628871820054,0.20867332517582807,-2.301983676768972,0.050578024464164026,-0.6200861939828555,0.895960878643292,0.7899369328354685,-0.7218660613974133,0.16860977177361822,1.0832397742918909,-0.268091954836557,-0.5908024408726023,-0.13784408163425232,-0.8483611768548374,-0.5567547864277955,1.489558420252101,-1.489553324124536,-0.39197872746430096,-0.3737257789516953,0.683102024272065
Jordan Nwora,-0.4697458099103997,-0.26851791855001345,-0.1426278887753973,-0.4715334436943927,0.3498752874590054,0.15151759508869633,0.7099608945166253,-0.4782804387124701,-0.29403261791242896,-0.9961969748859217,-0.15390398272560804,-0.328007510333009,-0.3553255032573501,0.272867359413579,-0.2017057382565237,-0.03634649662681146,-0.09315643571794942,-0.4486870253376348,-0.7193043862494314,-0.5631283061971507,0.13686828954177807,0.9433794549119311,-0.22159008134871472,0.0,-0.3480854818406118,-0.1830618059557431,0.38742549876026044,-0.45603010578165326,-0.12470605934546244,0.12416762032959314,0.05986944277864595,-0.3851969338316742,-0.7672484700171721,-0.5159416125677367,0.10035297539063923,0.1350670902491189,-0.5035975194477008,-0.32930711557253045,-0.4834285594672538,-0.5257244218707425,0.026824182207090916,-1.0752401130454718,-0.4014951884738494,-0.5060495885330755,-0.4478010257383676,0.34776685770280613,-0.30815174694961095,-0.5682081999933113,-0.579247236473197,0.8400924173562775,1.2347224449378822,-0.5820966662034809,-1.1923632762562866,-1.4043031266882922,0.3552219705299374,-0.20611515831728017,0.5079349210522781,0.451085404232719,-0.16708252181580033,-0.6647451680256686,-0.4581723294055124,0.14148270539506738,-0.20135384871735268,0.9034307634232244,-0.5124425520844207,0.7862122651189081,-0.3452301056807799,-0.28281202441066605,0.49534374859080665,0.3802616271321815,-0.380258763590086,-0.33658725774210496,-0.24208588692147762,-0.49708078697652863
Jusuf Nurkić,0.8996449830220465,0.528260741722576,0.36933496309075053,0.5555966346507208,-0.33627322444764063,-0.3354057445978858,0.3061990190583166,0.7850388490200261,0.7245492191288471,0.2776076385314186,0.2765530972321359,0.48642258053170295,0.8338760688622813,-0.7830355747976347,1.6671596733447385,2.279626762120193,2.256455887390331,0.3290066989049953,0.38302199807881127,0.9739072710383586,-1.354448593305436,-2.612159300093395,0.4593527171925684,0.0,0.7465187890459197,0.2690620870517196,-0.7489581266277539,1.0332776308182399,1.0343332567963448,2.5043990445456683,2.090613415649729,0.30151754667516273,0.07048795467690243,0.6539459728660987,-1.081112200034979,0.6148272734637543,-0.1286132371597924,0.1908927120890173,-0.02153469907132268,0.024623207538260795,0.10514044408502847,0.6454472726529568,0.34610621765530936,0.032900006761198496,0.4762974546489914,-0.1734815853380456,0.5898699361468824,-0.5682081999933113,-0.7349708458640668,-0.7587420302637183,-0.7006402825652445,2.044965966508805,0.14805525401515432,0.9177713302252041,-0.6008029086594479,-1.3260440637486728,-2.4911128131607865,-3.1534810136842752,1.010727025818543,-0.14450981913601516,0.33766040575162876,1.6523430472819083,-0.7731158076579443,-1.5840229652072098,0.036773850565061085,0.7607591282244254,-0.38347247230932,-0.06829338038011831,-0.18100530963543765,-0.7395137101906746,0.7395143200580425,-0.5278770538013656,0.20287234461925405,1.4403609697424307
Kendrick Nunn,-0.9021850076785406,-0.4362607943968744,-0.3064560013725646,-0.6200341779129634,0.00680103150568253,0.06298607878204517,0.24606427164963227,-0.52881321022177,-0.4637962574193082,-0.620121327115088,-0.476746792693916,-0.7038983215013377,-0.7689608326902652,0.784574165992859,-1.0026480575142076,-0.9627358001256131,-1.0068945613711697,-0.5005332736204767,-0.7193043862494314,-0.819300902403069,0.38542110334964724,1.3878217992875967,-0.4584397504065522,0.0,-0.5841765990906478,-0.6836275446425787,0.4924693632919257,-1.268379780290686,-0.855404758652254,-0.8176505691084223,-0.8773970062387771,-0.001102393887172008,-0.09705933026191263,-0.7759166315530335,0.0018975441051709502,0.8991296042576117,-1.092858534471557,-0.5373870466371495,-0.983813574896179,-1.420039319660373,-0.4430733890605342,-1.2473088516153148,-0.8772415378287686,-0.8140207858440892,0.24527283455215168,0.7647656121354875,-0.9458772900181354,-0.18055766290389694,2.0680541231715903,-0.1991499735967198,-0.6660802338598315,-0.6086326523924939,-0.2606089320432118,-0.32673916302255207,0.05779200811546196,0.1671944768265172,1.1023407782836967,0.9850952439241255,-0.7899625710455012,-0.37572552975363893,-0.5386253654733107,-0.8513683764162854,-0.03318856667600229,0.7802070163582758,-0.7669335355634539,-0.6994024916223949,-0.8187744726983814,-0.8933650881899173,0.11959427179844871,0.5126723220601925,-0.5126691920265727,-0.1452974616828443,-0.550015458921985,-0.9905753806538454
Frank Ntilikina,-0.7940752082365053,-1.1491680167460334,-1.043682508059818,-1.3625378490058164,-0.7937055657187381,-0.7337975679778165,-0.6130035484744287,-0.9836081538054686,-0.9730871759399462,-0.8142248872548735,-1.7681180325671468,-0.7038983215013377,-0.7172564165111509,-0.7343015932186556,-1.1361384440571547,-1.0206351315942883,-1.1374285793216299,-0.5523795219033188,-0.9948859823314921,-0.819300902403069,0.7582503240614509,0.6470845586614873,-1.0801701316833756,0.0,-1.850483500704478,-1.7977899952681151,0.5497660166728341,-0.0020699935560174526,-0.9813872930154938,-0.7491547007856577,-0.9443446097400215,-0.1174946787188393,-0.2646066152007273,-0.5159416125677367,-1.007270626570878,-0.9843733372516957,-1.03928935128757,-0.9535469087663878,-1.099287039995162,-1.729609861202937,-2.0485567575582535,-0.5590338973359432,-1.9646617649257268,-1.0449991838273494,-0.4478010257383676,-0.4341058068584715,-1.047629417483614,-0.061280574568692486,1.561952392651263,0.20055863830827905,-0.6660802338598315,-0.6086326523924939,1.1615424354399024,1.1454256887461352,0.6526519329444129,0.6234618086689364,0.45389802494033094,0.9183440139626996,-0.6767116530037375,-0.260117674444827,-0.4907884251086739,-0.7650334997370373,0.9085370127555602,1.2914850344832383,-0.9367032276272306,-0.616255577767085,0.13819263144409877,-1.245895726981377,-1.7215781644841053,0.5126723220601925,-0.5126691920265727,-1.0738786839201546,-1.2197622780230886,-0.795880251910969
Jaylen Nowell,-0.9021850076785406,0.23471070899056928,0.3488564490161047,-0.32303270947582197,-0.10755705381209194,0.24004911139534768,-0.3123298114310075,0.3302439054363273,0.32843406027946187,-0.025679174186994894,-0.6304814641073959,-0.2653590418049543,-0.30362108707823565,0.1672770659924575,-0.46868651134241834,-0.4995411483762122,-0.5717811682029695,-0.13760953564058276,-0.16814119408531017,-0.819300902403069,0.26114469644571275,0.35078966241104326,0.08927510928969727,0.0,-0.026143049226926108,-0.7320693903219498,-0.1043707760925356,-0.7347775431131841,-0.47745715556253426,-0.5779150299787459,-0.5649748565663029,0.24332140425932927,0.2380352396157175,-0.9708978957920061,0.8633825678530176,1.1301252480276212,-0.7714434353676355,-0.12122718450791141,-0.5989020245662366,-0.7665015097371813,-0.2472827343656904,-0.8171370051907075,-0.5374227168609692,-0.6600351871885822,-0.6788256458352073,0.5041413906150617,-0.29632010422106675,-0.12091911873629475,1.639814197346698,0.1206169159272793,-0.6660802338598315,-0.6086326523924939,0.08266898424581576,0.007153896141480049,-0.02718798114581658,0.3331098702237606,0.3998611288283841,0.6513390941169964,-0.1784076136199767,0.26011767444482653,-0.1450578106551617,0.18465014373469144,-0.5376844128000535,1.1883677263333157,-0.9465165046251368,0.9321435833139418,-0.3676480447388895,-0.23380776540135662,0.11959427179844871,-0.08269950765208742,0.0827014394324493,-0.5516162551108782,-0.6701079920021833,-0.985069862874484
Nerlens Noel,-0.8301118080505171,-1.2330394546694639,-1.1870321065823393,-1.399663032560459,-1.1367798216720613,-1.3092524239710497,1.5003032890307617,-0.9836081538054686,-0.8033235364330669,-2.31852747833821,-2.58291179105859,-0.7038983215013377,-0.7172564165111509,-0.7343015932186556,-0.46868651134241834,-0.4995411483762122,-0.5282698288861495,-0.8634570116003708,0.6586035941608719,0.461562078626522,0.5096975102535818,-0.09365268196462222,-1.1985949662122946,0.0,-1.2709871219998436,-2.3952394253136933,-1.608407927341378,0.65895964354447,0.10206250250836922,1.0146139085255348,0.6623978742898463,-0.8274876161920098,4.259170078147275,1.7588398035536101,-2.828696105352039,-1.179831189672473,-0.9321509849195962,-1.0575868742986974,-1.0607958849621677,-1.437237683079404,-2.2051892813141287,2.280100289066464,-0.9791871841191083,-0.5830423878608288,0.4762974546489914,-1.9978511359810267,-1.2180050727746483,-0.5682081999933113,-0.7349708458640668,-0.7587420302637183,-0.6315201851544185,1.9918939941307787,-2.3529695646620463,-1.3284183405146486,0.6951419275750523,0.04275793177858482,-0.7078952414665319,-0.016173205497261665,-0.7899625710455012,1.0115687339521038,-0.890879199067455,-1.0240381297747814,1.0094361819803703,-1.3025328203968374,0.24219844905456359,-2.113748465059146,-0.7786435941375678,-0.23380776540135662,-3.111851228615829,-1.6420974040344911,1.6420961973499197,0.6594270580700528,-2.1366225786545985,-0.47330696020201285
Zeke Nnaji,-0.7940752082365053,-0.6878751081671658,-0.8593758813880046,1.0753492044157185,-0.9080636510365124,-0.8223290842844678,-0.5442781228645038,-0.42774766720317026,-0.6618538368440008,2.01240820728075,0.952985651451446,-0.5159529159171733,-0.45873433561557886,-0.9129928590082458,0.3322558079152653,-0.9048364686569381,-0.5717811682029695,-1.0189957564488967,-0.9948859823314921,-0.05078311378531429,0.7582503240614509,-0.24180013008984427,-0.7396987324127342,0.0,-0.28369699531787446,0.7696278257385551,-0.29058489958048744,0.5235680311262978,1.3366913392681203,-0.6635348653822019,0.17144878194738677,-1.2232213846196789,-0.599701185078357,0.6539459728660987,0.051125259747905306,-0.6112265280847575,-0.28932078671175315,-0.6414270121694592,-0.44493740443425955,0.2654002954046997,-0.7171803056333156,-0.7311026359057861,-0.9452053020223286,-0.7370279865163357,-0.9098502659320471,-0.12135674103396044,-0.9494267828366985,-0.5682081999933113,-0.7349708458640668,-0.7587420302637183,0.09424083765925399,1.4346382841615062,-0.7510059553132512,-1.5560726990355795,0.9713268926742081,0.996771443812734,-0.6268398972986111,-0.9506904249572231,-0.5294854595494445,-0.8959608786432925,-0.9995995180779936,-0.6355311847181653,0.6394725614893993,-0.03496546422523149,-0.25926000553844153,-0.48898989329467163,-0.680140528579207,2.6234405609169413,-0.3688800480316166,-0.32418232178338824,0.3241837675522285,-0.8526568514271609,0.9942513446605574,-0.8261605996974575
Daishen Nix,-0.722002008608482,-0.9814251408991725,-0.7569833110147749,-1.6347891950731954,-0.4506313097654151,-0.24687422829123443,-0.33810184603472937,-0.9836081538054686,-0.8882053561865064,-1.469324402726649,-1.7988649668498429,-0.7665467900293925,-0.7689608326902652,-0.7343015932186556,-0.8691576709712602,-0.9048364686569381,-0.9633832220543497,0.017929209207943178,-0.44372279016737076,-0.819300902403069,-0.36023733807395997,1.239674351162375,-0.9173359842061124,0.0,-1.8290206718635653,-2.0238519417718472,0.9460678692241162,-0.7825628180843037,-0.77981523803431,-0.9203943715925696,-0.9443446097400215,0.6274159442038312,0.2380352396157175,-0.7109228768067094,-3.197903972672545,-0.5756887367355251,-1.5749811831274392,-1.0575868742986974,-1.5226897453580988,-2.6239247589925676,-1.617817317229597,-1.2473088516153148,-1.896698000732167,-1.2759775818106096,-1.3718995061257266,0.08714263618238027,-0.6772990000801855,1.9067913829621803,-0.07314550595287,-0.7587420302637183,-0.7006402825652445,-0.6086326523924939,-1.0779373041599443,0.23480825466241106,-1.0044578576505219,0.0012790834292739492,1.12935922633967,0.5845878641555706,-0.7673123874371485,-0.6069412403712626,-0.025465459743569507,-0.8513683764162854,0.7067386743059396,-0.27451932215569125,-0.7564660400990206,-0.8088509802686701,-0.9036667158077953,-0.5908387953263243,-1.0076541585786252,0.9661075075690646,-0.9661034649457639,0.007459138047932205,-1.9534044833142965,-0.7548391193739101
Georges Niang,-0.9382216074925523,-0.39432507543515927,-0.3064560013725646,-0.39728307658510736,1.0360237993656516,0.8155039673885811,0.6498261471079414,-0.8825426107868689,-0.9447932360221329,0.38679089111004794,0.814624447179314,-0.7038983215013377,-0.7689608326902652,0.8901644594139805,-1.0026480575142076,-0.4995411483762122,-0.6588038468366096,-0.6560720184690028,-0.7193043862494314,-0.5631283061971507,0.6339739171575164,-0.09365268196462222,-0.29560560292928895,0.0,-0.6271022567724724,0.6081550068073178,1.7768693432472866,-1.2763439927858726,-0.9309942792701978,-0.38955139209114253,-0.6542383279012954,-0.7576522452930096,-0.7672484700171721,-0.5809353673140609,0.7403132787461824,-0.2913864059416674,-0.18218242034377924,0.08685274655670766,-0.09851700913731126,-0.21615388032817812,0.18345670596296598,-0.8171370051907075,-0.16362201379638974,-0.3520639898775686,0.7073220747458312,1.181764366568169,-0.28212213294681415,-0.5682081999933113,-0.7349708458640668,-0.7187711690732184,2.5480042957435747,-0.4759527214474289,0.47498660286184724,-0.6302783077171268,0.46144695710653594,0.8723348987648014,-0.08647093617914009,0.31758294430986733,-0.7673123874371485,-0.317921602099233,-0.6669153419057461,-0.5923637463785412,0.84127089993902,-0.8544464674333873,-0.693006848845894,1.149343684813527,-0.6238530625458578,-1.1863905553272156,0.5329186962700424,1.7777183858328445,-1.7777127097507026,-0.9703207187873534,1.0142667668405916,-1.0301150083419877
