Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Fouls Commited Shoot,Fouls Commited Off,Fouls Drawn Shoot,Fouls Drawn Off,PGA,And1,Blkd,Season
T.J. Warren,PF-SF,29,TOT,42,687,,,19,68,14,3.7,2.3,4,5,33,4,17,2,95,6,7,2023
T.J. Warren,PF,29,BRK,26,490,,,20,62,18,0.1,-1.3,3,5,23,4,15,2,69,4,6,2023
T.J. Warren,SF,29,PHO,16,197,,,16,83,2,12.6,11.3,1,0,10,0,2,0,26,2,1,2023
Duane Washington Jr.,SG,22,PHO,31,394,72,26,2,,,-3.7,-6.2,22,11,13,0,10,3,147,3,16,2023
P.J. Washington,PF,24,CHO,73,2380,,,3,95,3,-7.3,-3.9,55,31,121,11,86,8,407,23,62,2023
Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2023
TyTy Washington Jr.,PG,21,HOU,31,433,100,,,,,-5.3,3.3,8,4,20,1,8,4,106,2,4,2023
Yuta Watanabe,SF,28,BRK,58,928,,4,31,58,8,-1.2,-3.2,10,5,57,3,24,8,117,3,9,2023
Lindy Waters III,SG,25,OKC,41,531,1,20,54,24,,10.0,10.1,3,4,31,0,7,1,72,0,3,2023
Trendon Watford,PF,22,POR,62,1182,,,1,44,55,-6.4,-4.0,27,15,62,18,51,14,311,12,14,2023
Peyton Watson,SG,20,DEN,23,186,,29,66,5,,-14.5,-18.6,4,3,8,0,10,2,23,2,4,2023
Blake Wesley,SG,19,SAS,37,669,36,57,7,,,-14.5,-5.3,37,17,46,3,20,2,244,3,26,2023
Russell Westbrook,PG,34,TOT,73,2126,74,26,,,,-0.1,-1.4,169,51,71,16,144,8,1252,34,79,2023
Russell Westbrook,PG,34,LAL,52,1491,67,33,,,,-1.4,-3.3,125,31,53,11,108,6,879,22,66,2023
Russell Westbrook,PG,34,LAC,21,635,92,8,,,,3.1,3.0,44,20,18,5,36,2,373,12,13,2023
Coby White,SG,22,CHI,74,1730,49,47,4,,,4.0,4.3,38,18,69,3,33,24,479,12,24,2023
Derrick White,SG,28,BOS,82,2319,21,71,8,,,10.7,9.8,54,25,117,4,96,51,793,27,34,2023
Jack White,SF,25,DEN,17,66,,,50,50,,-6.1,-9.6,0,0,8,0,2,0,9,1,2,2023
Joe Wieskamp,SF,23,TOR,9,50,23,31,46,,,5.6,4.5,0,1,1,0,0,0,7,0,1,2023
Aaron Wiggins,SG,24,OKC,70,1297,4,39,47,9,,2.4,1.8,23,20,65,5,40,6,199,11,33,2023
Andrew Wiggins,SF,27,GSW,37,1190,,1,73,26,,5.3,5.0,23,12,59,10,38,10,219,12,21,2023
Lindell Wigginton,PG,24,MIL,7,87,100,,,,,-20.3,-24.4,9,2,6,1,5,4,33,1,2,2023
Alondes Williams,SG,23,BRK,1,5,,,100,,,-45.5,-46.8,1,0,0,0,0,0,0,0,0,2023
Donovan Williams,SG,21,ATL,2,4,,,100,,,83.3,83.0,0,0,0,0,0,0,0,0,0,2023
Grant Williams,PF,24,BOS,79,2045,,,5,86,8,5.3,-2.7,27,20,102,17,48,20,333,12,22,2023
Jalen Williams,SG,21,OKC,75,2276,9,71,20,1,,-0.3,-3.3,42,41,99,16,99,20,604,25,52,2023
Jaylin Williams,C,20,OKC,49,914,,,,,100,-3.8,-6.5,17,4,64,13,26,48,185,4,17,2023
Jeenathan Williams,SG,23,POR,5,127,3,88,9,,,-10.8,-7.4,2,0,9,1,2,0,23,1,2,2023
Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2023
Kenrich Williams,PF,28,OKC,53,1206,,8,39,43,10,4.7,5.1,11,10,60,7,21,35,255,5,13,2023
Mark Williams,C,21,CHO,43,828,,,,,100,-4.3,1.9,10,12,53,16,47,1,43,10,20,2023
Patrick Williams,PF,21,CHI,82,2323,,,,89,11,-1.8,-8.3,24,29,77,20,50,11,248,10,38,2023
Robert Williams,C,25,BOS,35,824,,,1,46,53,10.2,4.5,16,6,44,8,22,0,128,9,12,2023
Vince Williams Jr.,SG,22,MEM,15,105,7,91,2,,,-16.3,-20.5,2,1,7,1,1,1,10,0,1,2023
Ziaire Williams,SF,21,MEM,37,561,1,13,77,9,,-5.3,-10.5,16,9,35,2,12,17,80,4,5,2023
Zion Williamson,PF,22,NOP,29,956,,,,95,5,7.3,6.9,34,41,31,14,127,2,344,35,44,2023
Dylan Windler,SF,26,CLE,3,10,,,60,40,,-11.4,-17.2,1,0,0,0,0,0,2,0,0,2023
Justise Winslow,PF,26,POR,29,776,,10,62,28,1,-1.6,2.5,21,12,44,7,12,7,225,0,13,2023
James Wiseman,C,21,TOT,45,867,,,,,100,-17.6,-13.7,14,10,73,17,44,2,72,7,23,2023
James Wiseman,C,21,GSW,21,262,,,,,100,-18.6,-21.9,6,1,28,6,15,2,35,4,4,2023
James Wiseman,C,21,DET,24,605,,,,,100,-17.1,-10.1,8,9,45,11,29,0,37,3,19,2023
Christian Wood,C,27,DAL,67,1738,,,,13,87,-1.3,-2.6,33,29,94,37,131,8,290,38,40,2023
Delon Wright,PG,30,WAS,50,1221,78,22,,,,2.4,5.3,18,16,32,3,29,15,467,11,14,2023
McKinley Wright IV,PG,24,DAL,27,335,99,1,,,,-13.5,-15.0,8,9,17,0,7,4,151,5,7,2023
Gabe York,SG,29,IND,3,56,75,25,,,,16.6,20.4,0,0,2,0,1,3,13,0,2,2023
Thaddeus Young,PF,34,TOR,54,795,,1,15,55,29,-5.4,-8.2,31,7,49,2,14,10,168,4,9,2023
Trae Young,PG,24,ATL,73,2541,100,,,,,0.8,1.0,235,44,48,13,223,42,1685,44,85,2023
Omer Yurtseven,C,24,MIA,9,83,,,,,100,6.5,6.9,1,2,11,1,3,0,4,2,1,2023
Cody Zeller,C,30,MIA,15,217,,,,,100,-11.9,-12.4,6,0,19,6,14,0,26,3,3,2023
Ivica Zubac,C,25,LAC,76,2170,,,,,100,-0.6,-2.8,36,31,148,28,110,2,184,18,46,2023
Precious Achiuwa,C,22,TOR,73,1725,,,,2,98,2.2,0.0,19,26,70,24,64,10,200,15,51,2022
Steven Adams,C,28,MEM,76,1999,,,,,100,7.9,4.2,71,15,78,19,83,13,569,23,44,2022
Bam Adebayo,C,24,MIA,56,1825,,,,2,98,7.6,5.5,59,39,72,38,173,8,480,48,40,2022
Santi Aldama,PF,21,MEM,32,360,,,3,49,49,2.3,-3.8,7,3,16,5,16,1,58,5,5,2022
LaMarcus Aldridge,C,36,BRK,47,1050,,,,,100,1.5,0.1,12,11,46,12,56,0,110,22,11,2022
Nickeil Alexander-Walker,SG,23,TOT,65,1466,3,42,41,14,,-4.1,-5.6,63,18,48,7,47,11,373,7,43,2022
Nickeil Alexander-Walker,SG,23,NOP,50,1317,4,40,42,15,,-5.3,-6.3,58,16,39,6,42,11,329,5,41,2022
Nickeil Alexander-Walker,SG,23,UTA,15,149,,61,38,1,,6.6,0.6,5,2,9,1,5,0,44,2,2,2022
Grayson Allen,SG,26,MIL,66,1805,6,84,11,,,5.6,4.4,27,7,46,5,30,8,242,6,25,2022
Jarrett Allen,C,23,CLE,56,1810,,,,,100,4.4,4.2,36,36,58,11,112,16,219,32,36,2022
Jose Alvarado,PG,23,NOP,54,834,100,,,,,8.1,11.7,26,11,34,2,20,14,354,4,19,2022
Justin Anderson,SF,28,TOT,16,316,,1,43,55,,-1.8,1.1,5,2,13,0,10,1,87,5,5,2022
Justin Anderson,SF,28,CLE,3,47,,6,75,19,,35.7,34.1,1,1,3,0,1,0,17,0,0,2022
Justin Anderson,SF,28,IND,13,269,,,38,62,,-8.4,-4.6,4,1,10,0,9,1,70,5,5,2022
Kyle Anderson,PF,28,MEM,69,1484,,,8,62,30,3.0,-4.5,33,19,44,10,46,6,440,14,25,2022
Giannis Antetokounmpo,PF,27,MIL,67,2204,,,1,65,34,8.0,11.0,72,67,87,48,367,3,1020,86,63,2022
Thanasis Antetokounmpo,SF,29,MIL,48,473,1,27,51,20,1,-10.6,-15.6,8,6,33,4,20,7,53,2,13,2022
Carmelo Anthony,PF,37,LAL,69,1793,,,14,74,12,-3.0,0.3,20,9,87,22,60,2,167,13,18,2022
Cole Anthony,PG,21,ORL,65,2059,99,1,,,,-5.9,4.9,106,48,90,4,93,20,902,21,44,2022
OG Anunoby,SF,24,TOR,48,1728,3,27,61,9,,3.9,3.1,37,25,55,11,47,5,309,9,49,2022
Ryan Arcidiacono,PG,27,NYK,10,76,15,51,34,,,-7.3,-7.7,3,0,1,0,0,4,9,0,0,2022
Trevor Ariza,SF,36,LAL,24,462,,,44,55,2,-4.8,-1.9,5,3,13,0,6,4,72,3,3,2022
D.J. Augustin,PG,34,TOT,55,883,100,,,,,-11.7,-5.8,44,8,20,1,11,2,265,3,10,2022
D.J. Augustin,PG,34,HOU,34,510,100,,,,,-13.9,-5.6,33,8,8,1,9,1,181,2,5,2022
D.J. Augustin,PG,34,LAL,21,373,100,,,,,-8.7,-6.1,11,0,12,0,2,1,84,1,5,2022
Deni Avdija,SF,21,WAS,82,1984,,7,69,24,,-0.7,5.2,55,20,105,4,52,2,387,11,39,2022
Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2022
Joel Ayayi,SG,21,WAS,7,20,20,51,29,,,0.2,3.5,0,0,0,0,0,0,11,0,2,2022
Deandre Ayton,C,23,PHO,58,1713,,,,,100,9.8,3.7,19,34,89,23,71,2,210,17,37,2022
Udoka Azubuike,C,22,UTA,17,195,,,,,100,-0.1,-6.5,2,2,15,5,5,0,0,3,2,2022
Marvin Bagley III,PF,22,TOT,48,1153,,,,71,29,-5.9,0.8,9,5,57,14,55,9,95,19,30,2022
Marvin Bagley III,PF,22,SAC,30,663,,,,78,22,-2.9,3.1,4,4,32,7,24,5,45,9,21,2022
Marvin Bagley III,PF,22,DET,18,490,,,,60,40,-10.0,-2.2,5,1,25,7,31,4,50,10,9,2022
LaMelo Ball,PG,20,CHO,75,2422,94,6,,,,1.2,1.7,156,39,84,17,91,15,1338,23,51,2022
Lonzo Ball,PG,24,CHI,35,1212,82,18,,,,2.8,4.5,57,15,41,7,13,4,408,5,18,2022
Mo Bamba,C,23,ORL,71,1824,,,,1,99,-9.3,-2.1,30,20,114,14,35,3,206,6,31,2022
Desmond Bane,SG,23,MEM,76,2266,,58,41,1,,7.4,3.8,44,33,92,17,53,2,518,16,68,2022
Dalano Banton,PG,22,TOR,64,696,56,43,1,,,2.0,-0.2,21,14,29,10,20,1,240,4,17,2022
Cat Barber,PG,27,ATL,3,13,100,,,,,35.7,34.0,0,1,1,0,1,0,8,0,1,2022
Harrison Barnes,PF,29,SAC,77,2580,,,50,50,1,-6.7,-3.6,46,51,42,15,186,18,451,50,48,2022
Scottie Barnes,PF,20,TOR,74,2617,,1,38,54,7,1.5,-2.0,83,26,81,12,107,16,622,30,38,2022
RJ Barrett,SF,21,NYK,70,2417,,2,93,5,,-2.8,-7.9,83,46,71,11,197,16,496,40,105,2022
Will Barton,SG,31,DEN,71,2277,,65,34,1,,1.8,-1.2,64,45,62,10,59,8,646,11,47,2022
Paris Bass,SF,26,PHO,2,7,,,100,,,12.5,4.8,1,1,1,0,1,0,0,0,2,2022
Charles Bassey,C,21,PHI,23,168,,,,,100,-10.6,-13.8,1,4,21,0,7,0,18,2,3,2022
Keita Bates-Diop,SF,26,SAS,59,957,,,18,78,4,1.7,2.2,18,15,29,5,32,1,99,9,26,2022
Nicolas Batum,PF,33,LAC,59,1463,,,,89,12,-5.1,-8.3,29,2,27,2,18,11,236,4,6,2022
Kent Bazemore,SF,32,LAL,39,545,,17,65,18,,-9.1,-7.0,15,4,37,1,7,6,82,1,0,2022
Darius Bazley,PF,21,OKC,69,1924,,,16,77,7,-11.5,-6.4,41,36,39,6,94,6,246,20,76,2022
Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2022
Bradley Beal,SG,28,WAS,40,1439,16,83,1,,,-3.2,0.1,77,38,50,10,86,17,623,16,34,2022
Malik Beasley,SG,25,MIN,79,1976,15,76,10,,,1.0,-2.9,12,19,47,7,15,5,289,3,34,2022
Jordan Bell,C,27,CHI,1,2,,,,,100,25.0,25.3,0,0,2,0,0,0,0,0,0,2022
DeAndre' Bembry,SF,27,TOT,56,1026,,16,66,19,,1.4,0.0,18,5,46,5,17,8,157,3,22,2022
DeAndre' Bembry,SF,27,BRK,48,949,,15,65,20,,1.6,0.4,17,5,40,5,17,7,142,3,22,2022
DeAndre' Bembry,SF,27,MIL,8,77,,30,67,3,,-1.2,-4.5,1,0,6,0,0,1,15,0,0,2022
Dāvis Bertāns,PF,29,TOT,56,806,,,,76,24,1.3,2.1,12,4,41,3,9,6,75,2,3,2022
Dāvis Bertāns,PF,29,WAS,34,501,,,,81,20,-4.9,-1.9,8,4,28,2,6,4,37,1,0,2022
Dāvis Bertāns,PF,29,DAL,22,306,,,,68,32,11.6,8.8,4,0,13,1,3,2,38,1,3,2022
Patrick Beverley,PG,33,MIN,58,1476,96,4,,,,3.7,2.1,50,9,67,7,44,31,648,9,23,2022
Saddiq Bey,SF,22,DET,82,2704,,7,59,34,,-9.5,-4.7,46,14,44,18,117,5,561,26,52,2022
Khem Birch,C,29,TOR,55,991,,,,,100,0.1,-2.7,10,6,50,11,34,3,139,9,12,2022
Goga Bitadze,C,22,IND,50,729,,,,,100,-3.1,1.2,15,12,52,12,47,3,132,15,24,2022
Bismack Biyombo,C,29,PHO,36,506,,,,5,95,4.6,-3.7,6,5,41,9,30,0,55,9,7,2022
Nemanja Bjelica,C,33,GSW,71,1143,,,,,100,4.9,-1.2,41,22,69,14,34,0,381,7,19,2022
Eric Bledsoe,PG,32,LAC,54,1361,100,,,,,-1.4,-2.3,66,35,25,10,61,23,550,23,19,2022
Keljin Blevins,SF,26,POR,31,349,,17,40,43,,-27.8,-20.8,6,9,19,1,2,0,48,0,6,2022
Bogdan Bogdanović,SG,29,ATL,63,1848,1,73,26,,,5.2,6.3,42,17,43,3,43,5,452,7,26,2022
Bojan Bogdanović,PF,32,UTA,69,2131,,,5,94,1,4.8,-2.8,45,48,39,11,94,5,306,20,61,2022
Bol Bol,PF,22,DEN,14,81,,,,12,88,1.7,-0.6,0,1,4,0,2,0,12,1,1,2022
Leandro Bolmaro,SF,21,MIN,35,241,,30,56,15,,0.4,-2.2,8,1,8,1,3,2,49,1,1,2022
Isaac Bonga,SF,22,TOR,15,69,,28,57,16,,-20.3,-22.9,1,1,4,0,3,0,11,0,2,2022
Devin Booker,SG,25,PHO,68,2345,4,81,15,,,9.7,4.8,96,37,79,16,136,9,788,39,59,2022
Brandon Boston Jr.,SG,20,LAC,51,760,12,41,45,2,,-2.2,-2.9,10,9,20,0,30,2,120,5,26,2022
Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2022
Chris Boucher,SF,29,TOR,80,1690,1,25,52,22,1,5.7,6.0,11,13,120,7,91,22,64,21,43,2022
James Bouknight,SG,21,CHO,31,304,30,58,12,,,-7.7,-8.9,3,6,12,2,12,4,62,2,17,2022
Avery Bradley,SG,31,LAL,62,1406,17,79,3,,,-4.8,-2.5,23,7,44,3,6,11,111,1,19,2022
Tony Bradley,C,24,CHI,55,549,,,,,100,7.8,9.5,5,11,28,17,16,4,66,3,18,2022
Ignas Brazdeikis,SF,23,ORL,42,536,2,24,61,13,,-15.8,-8.8,8,2,27,3,14,5,93,2,12,2022
Mikal Bridges,SF,25,PHO,82,2854,,8,88,3,,10.4,9.5,40,18,66,5,85,19,437,29,29,2022
Miles Bridges,PF,23,CHO,80,2837,,,21,69,10,2.2,5.8,76,40,90,19,161,18,754,38,62,2022
Oshae Brissett,SF,23,IND,67,1564,,,32,68,,-5.9,-3.1,23,15,48,9,82,10,181,18,30,2022
Malcolm Brogdon,PG,29,IND,36,1206,60,38,3,,,-1.4,3.8,49,15,28,8,57,7,514,10,39,2022
Armoni Brooks,SG-PG,23,TOT,54,844,61,36,3,,,-6.2,1.1,12,7,46,1,9,4,149,3,4,2022
Armoni Brooks,SG,23,HOU,41,690,58,39,3,,,-6.4,3.1,10,7,35,1,8,3,115,3,4,2022
Armoni Brooks,PG,23,TOR,13,154,75,25,,,,-5.2,-7.7,2,0,11,0,1,1,34,0,0,2022
Dillon Brooks,SF,26,MEM,32,885,,13,84,3,,11.5,7.4,10,24,46,8,50,18,199,14,27,2022
Bruce Brown,SF,25,BRK,72,1774,,26,65,9,,0.5,-1.6,26,16,93,9,70,6,364,22,38,2022
Charlie Brown Jr.,SG,24,TOT,22,178,5,57,38,1,,-0.6,-3.2,4,1,11,0,4,0,15,2,5,2022
Charlie Brown Jr.,SG,24,DAL,3,15,,35,51,14,,-86.4,-90.3,0,0,1,0,0,0,2,0,0,2022
Charlie Brown Jr.,SG,24,PHI,19,162,5,59,36,,,7.4,4.9,4,1,10,0,4,0,13,2,5,2022
Chaundee Brown Jr.,SG-SF,23,TOT,5,104,,34,61,5,,-7.7,-8.7,0,1,4,0,2,1,9,0,3,2022
Chaundee Brown Jr.,SF,23,LAL,2,21,,4,71,25,,-2.3,0.9,0,1,0,0,0,1,0,0,1,2022
Chaundee Brown Jr.,SG,23,ATL,3,83,1,41,59,,,-9.1,-11.2,0,0,4,0,2,0,9,0,2,2022
Greg Brown III,SF,20,POR,48,640,,,5,86,9,-17.3,-10.1,8,13,42,4,31,8,84,5,18,2022
Jaylen Brown,SF,25,BOS,66,2220,,45,47,8,,10.1,5.4,74,66,68,18,151,13,566,37,96,2022
Moses Brown,C,22,TOT,40,344,,,,1,99,-6.9,-10.2,2,4,34,6,32,0,2,4,6,2022
Moses Brown,C,22,DAL,26,169,,,,2,98,0.6,-3.1,1,2,14,6,18,0,2,3,5,2022
Moses Brown,C,22,CLE,14,176,,,,,100,-14.1,-17.0,1,2,20,0,14,0,0,1,1,2022
Sterling Brown,SG,26,DAL,49,628,,15,58,28,,1.8,-2.1,9,9,26,2,6,1,83,1,13,2022
Troy Brown Jr.,SF,22,CHI,66,1055,,11,57,32,,-1.4,-1.4,14,8,33,1,14,4,160,5,25,2022
Jalen Brunson,SG,25,DAL,79,2524,35,61,5,,,4.4,2.3,71,29,60,14,83,44,945,26,38,2022
Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2022
Thomas Bryant,C,24,WAS,27,439,,,,,100,-9.1,-6.6,9,1,29,6,19,0,52,4,7,2022
Shaq Buchanan,SG,25,MEM,2,10,,100,,,,-8.7,-14.5,1,0,1,0,0,0,4,0,1,2022
Reggie Bullock,SF,30,DAL,68,1902,,11,65,24,,7.4,7.4,24,6,44,4,11,5,200,4,16,2022
Trey Burke,PG,29,DAL,42,441,100,,,,,-1.3,-5.4,15,7,21,3,8,4,135,0,6,2022
Alec Burks,SG,30,NYK,81,2318,35,35,30,,,3.0,6.6,56,20,95,11,112,23,579,25,28,2022
Jared Butler,SG,21,UTA,42,360,60,38,2,,,-0.2,-6.9,16,14,22,2,5,0,154,1,5,2022
Jimmy Butler,SF,32,MIA,57,1931,,,67,32,,5.8,2.3,66,32,29,17,202,14,786,38,36,2022
Devontae Cacok,PF,25,SAS,15,121,,,,93,7,-2.6,-2.8,2,0,11,1,3,0,13,1,2,2022
Kentavious Caldwell-Pope,SG,28,WAS,77,2329,1,51,48,,,-4.5,-3.1,50,37,67,6,62,30,327,15,23,2022
Facundo Campazzo,PG,30,DEN,65,1184,100,,,,,-8.4,-15.2,51,8,41,6,21,27,543,4,9,2022
Vlatko Čančar,PF,24,DEN,15,176,,3,13,58,26,-0.1,-2.6,5,2,11,2,6,2,44,0,3,2022
Devin Cannady,PG,25,ORL,5,145,100,,,,,-3.3,5.1,3,1,3,1,1,0,25,0,3,2022
Clint Capela,C,27,ATL,74,2042,,,,,100,3.7,3.9,15,14,88,7,86,15,222,19,38,2022
Vernon Carey Jr.,C,20,TOT,7,44,,,,23,77,-48.6,-47.1,1,1,3,1,7,0,0,3,0,2022
Vernon Carey Jr.,C,20,CHO,4,17,,,,34,66,-56.1,-56.8,1,0,1,0,2,0,0,1,0,2022
Vernon Carey Jr.,C,20,WAS,3,27,,,,17,83,-44.0,-41.0,0,1,2,1,5,0,0,2,0,2022
Jevon Carter,PG,26,TOT,66,905,100,,,,,-1.6,-4.2,24,5,30,1,2,1,226,0,6,2022
Jevon Carter,PG,26,BRK,46,552,100,,,,,-1.0,-2.7,17,4,18,1,2,1,110,0,4,2022
Jevon Carter,PG,26,MIL,20,353,100,,,,,-2.7,-6.4,7,1,12,0,0,0,116,0,2,2022
Wendell Carter Jr.,PF,22,ORL,62,1852,,,,63,37,-3.5,8.8,45,33,80,26,96,2,414,24,35,2022
Alex Caruso,SG,27,CHI,41,1147,37,60,3,,,4.9,7.4,39,14,54,2,30,30,383,7,18,2022
Willie Cauley-Stein,C,28,TOT,20,183,,,,,100,6.1,2.7,2,2,13,2,1,0,25,0,6,2022
Willie Cauley-Stein,C,28,DAL,18,177,,,,,100,5.2,1.7,2,2,11,2,1,0,23,0,6,2022
Willie Cauley-Stein,C,28,PHI,2,6,,,,,100,33.3,30.7,0,0,2,0,0,0,2,0,0,2022
Ahmad Caver,SG,25,IND,1,1,,100,,,,100.0,104.1,0,0,0,0,0,0,0,0,0,2022
Justin Champagnie,SF,20,TOR,36,281,9,54,36,,,8.1,6.4,1,2,15,1,4,1,28,1,4,2022
Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2022
Zylan Cheatham,SF,26,UTA,1,5,,,,100,,-118.2,-124.4,0,0,0,0,0,0,0,0,0,2022
Chris Chiozza,PG,26,GSW,34,372,100,,,,,-7.1,-14.1,18,11,16,1,1,8,158,1,6,2022
Marquese Chriss,PF,24,DAL,34,346,,,2,31,67,-4.0,-8.3,4,3,36,9,14,2,42,3,20,2022
Josh Christopher,SG,20,HOU,74,1334,11,59,28,1,,-10.5,-2.3,55,36,42,6,47,7,361,10,34,2022
Gary Clark,PF,27,NOP,38,378,,,30,67,3,0.0,1.2,6,2,11,0,4,3,46,0,6,2022
Brandon Clarke,PF,25,MEM,64,1246,,,17,82,1,8.0,3.2,6,10,59,12,61,4,206,21,26,2022
Jordan Clarkson,SG,29,UTA,79,2141,1,87,12,,,8.2,4.7,52,48,45,11,75,8,476,27,40,2022
Nic Claxton,C,22,BRK,47,974,,,,7,93,0.7,-0.9,7,12,59,12,48,5,104,15,20,2022
Amir Coffey,SG,24,LAC,69,1567,3,53,39,5,,-0.5,-1.1,18,16,41,4,57,11,307,14,28,2022
John Collins,PF,24,ATL,54,1663,,,,94,6,1.0,-1.4,26,12,86,13,68,18,224,17,38,2022
Zach Collins,C,24,SAS,28,502,,,,16,84,2.2,2.4,19,13,47,9,23,3,134,4,16,2022
Darren Collison,PG,34,LAL,3,37,100,,,,,-21.7,-18.8,1,0,5,0,0,0,4,0,0,2022
Mike Conley,PG,34,UTA,72,2058,100,,,,,7.7,3.3,87,25,49,2,53,21,923,12,28,2022
Pat Connaughton,SF,29,MIL,65,1691,1,28,58,13,,-1.0,-7.2,21,8,46,4,20,17,202,5,14,2022
Tyler Cook,PF,24,CHI,20,200,,,,25,75,-7.9,-7.9,1,1,15,5,14,8,8,1,6,2022
Sharife Cooper,PG,20,ATL,13,39,99,1,,,,-42.5,-44.8,2,2,0,0,0,0,12,0,3,2022
Petr Cornelie,PF,26,DEN,13,38,,,,78,22,6.0,3.7,3,0,5,1,0,0,8,0,1,2022
DeMarcus Cousins,C,31,TOT,48,717,,,,1,99,2.2,-0.7,37,13,69,27,59,11,179,18,26,2022
DeMarcus Cousins,C,31,MIL,17,287,,,,,100,9.3,6.6,10,1,24,4,21,5,47,12,10,2022
DeMarcus Cousins,C,31,DEN,31,431,,,,1,99,-2.6,-5.5,27,12,45,23,38,6,132,6,16,2022
Robert Covington,PF,31,TOT,71,1939,,1,9,84,7,1.0,10.7,43,13,99,14,23,9,229,2,28,2022
Robert Covington,PF,31,POR,48,1431,,,1,90,9,-2.2,10.4,31,13,67,9,11,8,172,1,18,2022
Robert Covington,PF,31,LAC,23,509,,4,29,66,1,10.2,11.5,12,0,32,5,12,1,57,1,10,2022
Torrey Craig,SF,31,TOT,78,1596,,1,20,77,3,-4.5,-5.8,35,19,73,4,25,13,223,8,14,2022
Torrey Craig,SF,31,IND,51,1034,,,5,91,4,-7.7,-4.9,19,11,45,3,16,10,146,5,10,2022
Torrey Craig,SF,31,PHO,27,562,,3,46,51,,1.5,-7.3,16,8,28,1,9,3,77,3,4,2022
Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2022
Jae Crowder,PF,31,PHO,67,1886,,,15,84,,10.6,5.4,34,8,91,10,36,8,294,10,6,2022
Jarrett Culver,SG,22,MEM,37,338,4,71,26,,,-2.7,-9.3,8,6,21,4,17,0,75,4,9,2022
Jarron Cumberland,SG,24,POR,3,12,33,39,28,,,30.5,39.5,0,0,0,0,0,0,2,0,0,2022
Cade Cunningham,SG,20,DET,64,2088,1,56,41,2,,-6.8,2.7,123,67,93,25,61,5,837,14,77,2022
Seth Curry,SG,31,TOT,64,2134,23,74,4,,,3.7,1.6,59,22,45,7,24,15,547,11,13,2022
Seth Curry,SG,31,PHI,45,1566,29,71,1,,,2.8,0.1,47,18,32,5,20,11,435,9,9,2022
Seth Curry,SG,31,BRK,19,569,6,82,12,,,6.3,5.8,12,4,13,2,4,4,112,2,4,2022
Stephen Curry,PG,33,GSW,64,2211,97,3,,,,10.1,10.0,120,52,52,16,105,13,945,25,39,2022
Anthony Davis,C,28,LAL,40,1404,,,,24,76,-3.2,-0.2,31,34,58,11,92,5,309,26,19,2022
Ed Davis,C,32,CLE,31,201,,,,41,60,2.8,0.7,2,0,23,3,4,0,17,0,1,2022
Terence Davis,SG,24,SAC,30,536,,47,51,3,,5.6,12.8,16,5,34,5,19,2,92,8,14,2022
Gabriel Deck,PF,26,OKC,7,56,,,14,72,14,-12.2,-3.9,2,0,1,0,0,0,13,0,0,2022
Dewayne Dedmon,C,32,MIA,67,1065,,,,,100,3.1,-2.0,11,12,78,35,39,17,114,7,23,2022
Sam Dekker,PF,27,TOR,1,1,,,,,100,-250.0,-252.2,0,0,0,0,0,0,0,0,0,2022
Javin DeLaurier,C,23,MIL,1,3,,,,,100,85.7,82.6,0,0,1,0,0,0,0,0,0,2022
DeMar DeRozan,PF,32,CHI,76,2743,,,11,81,8,1.2,5.1,86,61,89,18,287,12,948,74,84,2022
Mamadi Diakite,PF,25,OKC,13,188,,,,10,90,-5.8,2.6,1,1,18,4,5,2,5,1,5,2022
Cheick Diallo,C,25,DET,3,31,,,,,100,-45.3,-37.6,0,0,3,1,3,0,0,0,1,2022
Hamidou Diallo,SG,23,DET,58,1269,,57,40,3,,-8.2,-0.2,26,15,70,6,77,10,184,22,25,2022
Gorgui Dieng,C,32,ATL,44,371,,,,,100,-8.4,-11.3,6,1,24,5,13,4,82,4,5,2022
