Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Fouls Commited Shoot,Fouls Commited Off,Fouls Drawn Shoot,Fouls Drawn Off,PGA,And1,Blkd,Season
Dāvis Bertāns,PF,30,DAL,45,492,,,4,73,24,-3.4,-4.2,7,1,26,2,5,3,48,1,3,2023
Patrick Beverley,SG-PG,34,TOT,67,1816,47,45,9,,,-1.1,-2.9,32,7,84,6,21,26,453,5,12,2023
Patrick Beverley,SG,34,LAL,45,1211,20,67,13,,,-2.1,-3.8,24,4,51,4,16,18,286,4,9,2023
Patrick Beverley,PG,34,CHI,22,605,100,,,,,0.7,-1.0,8,3,33,2,5,8,167,1,3,2023
Saddiq Bey,SF,23,TOT,77,2129,,10,76,13,1,-3.4,3.1,19,14,45,12,122,3,282,27,55,2023
Saddiq Bey,SF,23,DET,52,1500,,11,79,9,1,-7.9,1.0,14,12,29,9,105,2,205,22,41,2023
Saddiq Bey,SF,23,ATL,25,629,,7,69,24,,7.4,8.2,5,2,16,3,17,1,77,5,14,2023
Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2023
Khem Birch,C,30,TOR,20,162,,,,,100,3.6,2.5,1,1,8,6,2,1,18,1,1,2023
Goga Bitadze,C,23,TOT,38,457,,,,,100,2.1,5.5,7,8,31,6,17,1,94,4,11,2023
Goga Bitadze,C,23,IND,21,202,,,,,100,3.1,6.8,2,5,16,4,10,0,44,2,5,2023
Goga Bitadze,C,23,ORL,17,255,,,,,100,1.4,4.4,5,3,15,2,7,1,50,2,6,2023
Bismack Biyombo,C,30,PHO,61,874,,,,1,99,3.8,2.5,10,12,68,20,33,4,126,12,11,2023
Buddy Boeheim,SF,23,DET,10,90,,3,25,72,,1.6,10.3,0,0,2,0,1,0,11,0,0,2023
Bogdan Bogdanović,SG,30,ATL,54,1508,,69,32,,,1.8,2.1,39,17,45,2,32,3,343,2,13,2023
Bojan Bogdanović,PF,33,DET,59,1893,,1,44,53,2,-8.5,0.0,60,52,49,11,93,6,377,20,79,2023
Bol Bol,PF,23,ORL,70,1505,,,1,82,18,-4.4,-2.5,36,47,50,8,55,3,164,16,19,2023
Leandro Bolmaro,SF,22,UTA,14,68,,,91,9,,-0.1,1.0,5,1,7,0,0,4,17,0,1,2023
Devin Booker,SG,26,PHO,53,1835,2,59,40,,,5.5,7.0,75,40,74,17,156,14,715,50,43,2023
Brandon Boston Jr.,SF,21,LAC,22,248,1,71,26,3,,-10.6,-12.0,2,6,10,1,16,4,46,6,11,2023
Chris Boucher,PF,30,TOR,76,1523,,5,47,45,3,-0.7,-3.0,7,17,95,8,75,18,65,19,35,2023
James Bouknight,SG,22,CHO,34,515,9,89,3,,,-7.9,-2.4,8,12,26,3,14,4,101,2,13,2023
Jamaree Bouyea,PG,23,TOT,5,71,100,,,,,-13.6,-13.6,0,2,2,1,1,0,8,0,1,2023
Jamaree Bouyea,PG,23,MIA,4,65,100,,,,,-18.3,-18.3,0,2,2,1,1,0,8,0,1,2023
Jamaree Bouyea,PG,23,WAS,1,6,100,,,,,36.4,37.7,0,0,0,0,0,0,0,0,0,2023
Tony Bradley,C,25,CHI,12,33,,,,,100,13.3,11.8,0,0,1,1,0,0,2,0,0,2023
Malaki Branham,SG,19,SAS,66,1550,55,41,4,,,-10.6,-0.8,46,16,76,2,35,6,288,8,40,2023
Jarrell Brantley,PF,26,UTA,4,39,,13,54,33,,17.8,19.1,1,1,2,0,1,0,7,0,0,2023
Christian Braun,SG,21,DEN,76,1181,14,58,27,1,,-3.2,-9.2,9,8,51,5,31,4,145,10,25,2023
Mikal Bridges,SF-SG,26,TOT,83,2963,1,38,51,10,,0.8,-1.5,73,37,92,6,159,28,662,43,54,2023
Mikal Bridges,SF,26,PHO,56,2040,,19,66,15,,0.9,-2.0,46,21,65,5,82,24,490,23,35,2023
Mikal Bridges,SG,26,BRK,27,923,2,80,17,1,,0.8,-0.6,27,16,27,1,77,4,172,20,19,2023
Oshae Brissett,PF,24,IND,65,1083,,1,5,92,3,0.1,4.8,13,8,41,7,65,6,109,7,22,2023
Malcolm Brogdon,PG,30,BOS,67,1744,52,47,1,,,5.1,-2.7,42,34,52,7,82,18,616,17,51,2023
Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2023
Dillon Brooks,SF,27,MEM,73,2214,,20,75,5,,4.4,1.7,43,27,104,15,70,23,451,18,38,2023
Bruce Brown,SF,26,DEN,80,2280,,32,64,3,,0.9,-5.6,56,38,108,12,79,11,631,25,38,2023
Greg Brown III,PF,21,POR,16,93,,,25,67,8,-2.5,1.2,2,1,6,0,6,0,7,2,4,2023
Jaylen Brown,SF,26,BOS,67,2405,,39,58,3,,5.1,-3.8,61,68,71,30,176,9,599,48,77,2023
Kendall Brown,SG,19,IND,6,40,,54,46,,,6.4,9.9,0,0,3,0,1,0,8,0,1,2023
Moses Brown,C,23,TOT,36,294,,,,,100,3.8,3.5,2,3,21,5,29,1,9,8,11,2023
Moses Brown,C,23,LAC,34,288,,,,,100,4.8,4.5,2,3,20,5,29,1,9,8,11,2023
Moses Brown,C,23,BRK,2,6,,,,,100,-43.3,-44.6,0,0,1,0,0,0,0,0,0,2023
Sterling Brown,SF,27,LAL,4,24,,,65,35,,-3.0,-3.6,0,0,3,0,0,0,4,0,1,2023
Troy Brown Jr.,SF,23,LAL,76,1860,,2,70,28,,-0.9,-2.7,27,10,65,5,18,12,226,5,30,2023
Jalen Brunson,PG,26,NYK,68,2379,100,,,,,2.4,-1.9,75,39,70,18,169,77,1036,50,51,2023
Thomas Bryant,C,25,TOT,59,1081,,,,3,97,-4.2,-6.1,13,7,68,11,65,3,77,18,33,2023
Thomas Bryant,C,25,LAL,41,876,,,,4,96,-2.2,-3.6,10,6,54,8,59,3,73,16,28,2023
Thomas Bryant,C,25,DEN,18,205,,,,,100,-12.8,-17.0,3,1,14,3,6,0,4,2,5,2023
Reggie Bullock,SF,31,DAL,78,2364,,2,45,51,2,-1.7,-4.7,22,1,86,8,3,7,272,1,9,2023
Alec Burks,SG,31,DET,51,1122,2,84,13,1,,-1.0,10.6,24,16,55,7,73,18,270,16,14,2023
Deonte Burton,PF,29,SAC,2,6,,,12,88,,35.7,33.5,0,0,0,0,0,1,0,0,1,2023
Jared Butler,PG,22,OKC,6,77,1,99,,,,-1.3,-2.5,4,1,4,0,0,1,20,0,4,2023
Jimmy Butler,PF,33,MIA,64,2138,,,15,83,3,1.4,3.5,55,25,32,10,248,12,835,61,53,2023
John Butler,C,20,POR,19,221,,,,,100,-15.7,-12.7,1,0,18,0,3,0,25,2,2,2023
Jamal Cain,PF,23,MIA,18,240,,14,48,38,,7.3,8.0,2,2,8,2,13,1,32,4,2,2023
Kentavious Caldwell-Pope,SG,29,DEN,76,2381,24,74,2,,,9.6,16.3,54,20,72,5,49,45,433,11,9,2023
Facundo Campazzo,PG,31,DAL,8,52,100,,,,,10.7,10.6,2,0,1,0,0,1,23,0,1,2023
Vlatko Čančar,PF,25,DEN,60,889,,,1,90,9,-3.9,-9.3,16,12,47,6,22,7,193,7,9,2023
Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2023
Clint Capela,C,28,ATL,65,1730,,,,,100,-0.5,-1.7,17,10,71,15,69,18,137,17,26,2023
Vernon Carey Jr.,C,21,WAS,11,28,,,,,100,-19.0,-17.8,1,0,5,0,1,0,7,0,1,2023
Jevon Carter,PG,27,MIL,81,1810,99,1,,,,3.4,-0.3,44,18,75,1,10,6,492,2,16,2023
Wendell Carter Jr.,C,23,ORL,57,1690,,,,6,94,-1.5,2.3,35,28,82,30,78,4,301,17,18,2023
Michael Carter-Williams,PG,31,ORL,4,44,95,5,,,,-31.4,-28.9,3,0,4,1,4,0,16,1,2,2023
Alex Caruso,PG,28,CHI,67,1575,61,39,,,,6.0,7.2,51,18,82,3,34,47,449,7,15,2023
Julian Champagnie,SF,21,TOT,17,320,1,16,60,24,,-10.1,-0.3,4,5,19,1,9,1,24,5,5,2023
Julian Champagnie,SF,21,PHI,2,7,,,5,95,,-23.6,-28.4,0,0,0,0,0,0,0,0,0,2023
Julian Champagnie,SF,21,SAS,15,313,1,16,61,22,,-9.8,0.3,4,5,19,1,9,1,24,5,5,2023
Justin Champagnie,SF,21,TOT,5,34,,29,57,13,,-8.2,-13.1,0,0,1,0,0,1,9,0,2,2023
Justin Champagnie,SF,21,TOR,3,11,,,59,42,,-10.0,-11.2,0,0,0,0,0,1,3,0,0,2023
Justin Champagnie,SF,21,BOS,2,23,,43,57,,,-7.4,-14.1,0,0,1,0,0,0,6,0,2,2023
Kennedy Chandler,PG,20,MEM,36,281,100,,,,,-7.8,-12.3,7,8,6,0,6,2,128,2,11,2023
Max Christie,SG,19,LAL,41,512,,26,68,6,,-8.5,-10.4,8,1,26,1,7,1,50,0,6,2023
Josh Christopher,SG,21,HOU,64,786,5,81,14,,,-15.0,-8.3,28,22,35,6,28,2,173,7,20,2023
Brandon Clarke,PF,26,MEM,56,1090,,,9,82,9,0.3,-4.6,12,10,72,22,71,3,171,25,18,2023
Jordan Clarkson,SG,30,UTA,61,1988,13,56,30,2,,0.2,2.6,97,49,52,11,99,6,662,25,52,2023
Nic Claxton,C,23,BRK,76,2271,,,,,100,5.2,9.1,21,21,105,31,119,14,350,35,29,2023
Amir Coffey,SF,25,LAC,50,625,1,7,74,18,1,-8.8,-11.3,11,7,32,2,29,7,127,5,16,2023
John Collins,PF,25,ATL,71,2130,,,,92,8,-0.3,-1.6,24,28,150,18,91,20,214,21,46,2023
Zach Collins,C,25,SAS,63,1441,,,,2,99,-8.1,3.1,54,23,118,40,59,13,411,16,35,2023
Chance Comanche,C,26,POR,1,21,,,,64,36,-65.1,-61.7,0,0,0,0,0,0,0,0,0,2023
Mike Conley,PG,35,TOT,67,2029,99,1,,,,0.8,2.1,76,19,75,3,61,43,1090,15,14,2023
