Name,Position,Shoots,Date Born,College,NBA Debut,Experience,Player Image,Height,Weight,Draft Team,Draft Year,Draft Round
Zach Collins, Center and Power Forward, Right,1997-11-19,Gonzaga,2017-10-20,5,https://www.basketball-reference.com/req/202106291/images/headshots/colliza01.jpg,211,113,Sacramento Kings,2017,1st round
Jaden Ivey, Shooting Guard, Right,2002-02-13,Purdue,2022-10-19,1,https://www.basketball-reference.com/req/202106291/images/headshots/iveyja01.jpg,193,88,Detroit Pistons,2022,1st round
Cody Martin, Small Forward, Right,1995-09-28,No College,2019-10-25,4,https://www.basketball-reference.com/req/202106291/images/headshots/martico01.jpg,196,92,Charlotte Hornets,2019,2nd round
Kevon Looney, Center and Power Forward, Right,1996-02-06,UCLA,2016-01-27,8,https://www.basketball-reference.com/req/202106291/images/headshots/looneke01.jpg,206,100,Golden State Warriors,2015,1st round
Killian Hayes, Point Guard, Left,2001-07-27,No College,2020-12-23,3,https://www.basketball-reference.com/req/202106291/images/headshots/hayeski01.jpg,196,88,Detroit Pistons,2020,1st round
Jalen Suggs, Shooting Guard and Point Guard, Right,2001-06-03,Gonzaga,2021-10-20,2,https://www.basketball-reference.com/req/202106291/images/headshots/suggsja01.jpg,193,92,Orlando Magic,2021,1st round
Anthony Black, Point Guard, Right,2004-01-20,Arkansas,2023-10-25,0,https://www.basketball-reference.com/req/202106291/images/headshots/blackan01.jpg,201,89,Orlando Magic,2023,1st round
Khem Birch, Center, Right,1992-09-28,No College,2017-10-21,6,https://www.basketball-reference.com/req/202106291/images/headshots/birchkh01.jpg,206,105,Not Drafted,Not Drafted,Not Drafted
Bennedict Mathurin, Shooting Guard, Right,2002-06-19,Arizona,2022-10-19,1,https://www.basketball-reference.com/req/202106291/images/headshots/mathube01.jpg,198,95,Indiana Pacers,2022,1st round
Obi Toppin, Power Forward, Right,1998-03-04,Dayton,2020-12-23,3,https://www.basketball-reference.com/req/202106291/images/headshots/toppiob01.jpg,206,99,New York Knicks,2020,1st round
Caleb Martin, Small Forward, Right,1995-09-28,No College,2019-10-25,4,https://www.basketball-reference.com/req/202106291/images/headshots/martica02.jpg,196,92,Not Drafted,Not Drafted,Not Drafted
Danilo Gallinari," Small Forward, Power Forward, and Shooting Guard", Right,1988-08-08,No College,2008-10-29,13,https://www.basketball-reference.com/req/202106291/images/headshots/gallida01.jpg,208,105,New York Knicks,2008,1st round
John Wall, Point Guard, Right,1990-09-06,Kentucky,2010-10-28,11,https://www.basketball-reference.com/req/202106291/images/headshots/walljo01.jpg,190,95,Washington Wizards,2010,1st round
Patty Mills, Point Guard and Shooting Guard, Right,1988-08-11,Saint Mary\'s,2010-01-04,14,https://www.basketball-reference.com/req/202106291/images/headshots/millspa02.jpg,185,81,Portland Trail Blazers,2009,2nd round
Cedi Osman, Small Forward, Right,1995-04-08,No College,2017-10-20,6,https://www.basketball-reference.com/req/202106291/images/headshots/osmande01.jpg,201,104,Minnesota Timberwolves,2015,2nd round
Bilal Coulibaly, Small Forward, Right,2004-07-26,No College,2023-10-25,0,https://www.basketball-reference.com/req/202106291/images/headshots/coulibi01.jpg,198,88,Indiana Pacers,2023,1st round
Josh Giddey, Power Forward and Small Forward, Right,2002-10-10,No College,2021-10-20,2,https://www.basketball-reference.com/req/202106291/images/headshots/giddejo01.jpg,203,95,Oklahoma City Thunder,2021,1st round
Cameron Payne, Point Guard and Shooting Guard, Left,1994-08-08,Murray State,2015-11-01,8,https://www.basketball-reference.com/req/202106291/images/headshots/payneca01.jpg,185,83,Oklahoma City Thunder,2015,1st round
Jae'Sean Tate, Small Forward and Power Forward, Left,1995-10-28,Ohio State,2020-12-26,3,https://www.basketball-reference.com/req/202106291/images/headshots/tateja01.jpg,193,104,Not Drafted,Not Drafted,Not Drafted
Ayo Dosunmu, Shooting Guard, Right,2000-01-17,Illinois,2021-10-20,2,https://www.basketball-reference.com/req/202106291/images/headshots/dosunay01.jpg,196,90,Chicago Bulls,2021,2nd round
Rudy Gay, Small Forward and Power Forward, Right,1986-08-17,UConn,2006-11-01,17,https://www.basketball-reference.com/req/202106291/images/headshots/gayru01.jpg,203,113,Houston Rockets,2006,1st round
Sasha Vezenkov, Power Forward, Left,1995-08-06,No College,2023-10-25,0,https://www.basketball-reference.com/req/202106291/images/headshots/vezenal01.jpg,206,102,Brooklyn Nets,2017,2nd round
Shaedon Sharpe, Shooting Guard, Right,2003-05-30,Kentucky,2022-10-19,1,https://www.basketball-reference.com/req/202106291/images/headshots/sharpsh01.jpg,198,90,Portland Trail Blazers,2022,1st round
Otto Porter Jr., Small Forward and Power Forward, Right,1993-06-03,Georgetown,2013-12-06,10,https://www.basketball-reference.com/req/202106291/images/headshots/porteot01.jpg,203,89,Washington Wizards,2013,1st round
Deni Avdija, Small Forward, Right,2001-01-03,No College,2020-12-23,3,https://www.basketball-reference.com/req/202106291/images/headshots/avdijde01.jpg,206,95,Washington Wizards,2020,1st round
Nassir Little, Small Forward and Power Forward, Right,2000-02-11,UNC,2019-10-25,4,https://www.basketball-reference.com/req/202106291/images/headshots/littlna01.jpg,196,99,Portland Trail Blazers,2019,1st round
Jevon Carter, Point Guard, Right,1995-09-14,West Virginia,2018-12-15,5,https://www.basketball-reference.com/req/202106291/images/headshots/carteje01.jpg,185,90,Memphis Grizzlies,2018,2nd round
Kenrich Williams, Power Forward and Small Forward, Right,1994-12-02,TCU,2018-10-17,5,https://www.basketball-reference.com/req/202106291/images/headshots/willike04.jpg,198,95,Not Drafted,Not Drafted,Not Drafted
Ricky Rubio, Point Guard, Right,1990-10-21,No College,2011-12-26,12,https://www.basketball-reference.com/req/202106291/images/headshots/rubiori01.jpg,188,86,Minnesota Timberwolves,2009,1st round
Jarace Walker, Power Forward, Right,2003-09-04,Houston,2023-10-25,0,https://www.basketball-reference.com/req/202106291/images/headshots/walkeja02.jpg,203,108,Washington Wizards,2023,1st round
Jonathan Kuminga, Power Forward and Small Forward, Right,2002-10-06,No College,2021-10-30,2,https://www.basketball-reference.com/req/202106291/images/headshots/kuminjo01.jpg,203,95,Golden State Warriors,2021,1st round
Devin Vassell, Shooting Guard and Small Forward, Right,2000-08-23,Florida State,2020-12-23,3,https://www.basketball-reference.com/req/202106291/images/headshots/vassede01.jpg,196,90,San Antonio Spurs,2020,1st round
Tyrese Haliburton, Point Guard and Shooting Guard, Right,2000-02-29,Iowa State,2020-12-23,3,https://www.basketball-reference.com/req/202106291/images/headshots/halibty01.jpg,196,83,Sacramento Kings,2020,1st round
Dyson Daniels, Point Guard, Right,2003-03-17,No College,2022-10-19,1,https://www.basketball-reference.com/req/202106291/images/headshots/daniedy01.jpg,203,90,New Orleans Pelicans,2022,1st round
JaVale McGee, Center, Right,1988-01-19,Nevada,2008-10-29,15,https://www.basketball-reference.com/req/202106291/images/headshots/mcgeeja01.jpg,213,122,Washington Wizards,2008,1st round
Kira Lewis Jr., Point Guard, Right,2001-04-06,Alabama,2020-12-29,3,https://www.basketball-reference.com/req/202106291/images/headshots/lewiski01.jpg,185,77,New Orleans Pelicans,2020,1st round
Dean Wade, Power Forward, Right,1996-11-20,Kansas State,2019-11-18,4,https://www.basketball-reference.com/req/202106291/images/headshots/wadede01.jpg,206,103,Not Drafted,Not Drafted,Not Drafted
Aaron Nesmith, Small Forward, Right,1999-10-16,Vanderbilt,2020-12-25,3,https://www.basketball-reference.com/req/202106291/images/headshots/nesmiaa01.jpg,196,97,Boston Celtics,2020,1st round
Taylor Hendricks, Power Forward, Right,2003-11-22,Central Florida,2023-10-25,0,https://www.basketball-reference.com/req/202106291/images/headshots/hendrita01.jpg,206,95,Utah Jazz,2023,1st round
Cole Anthony, Point Guard, Right,2000-05-15,UNC,2020-12-23,3,https://www.basketball-reference.com/req/202106291/images/headshots/anthoco01.jpg,188,83,Orlando Magic,2020,1st round
Franz Wagner, Small Forward, Right,2001-08-27,Michigan,2021-10-20,2,https://www.basketball-reference.com/req/202106291/images/headshots/wagnefr01.jpg,206,102,Orlando Magic,2021,1st round
Furkan Korkmaz, Shooting Guard, Right,1997-07-24,No College,2017-11-11,6,https://www.basketball-reference.com/req/202106291/images/headshots/korkmfu01.jpg,201,91,Philadelphia 76ers,2016,1st round
Jeremy Sochan, Power Forward, Right,2003-05-20,Baylor,2022-10-19,1,https://www.basketball-reference.com/req/202106291/images/headshots/sochaje01.jpg,206,104,San Antonio Spurs,2022,1st round
Cason Wallace, Shooting Guard, Right,2003-11-07,Kentucky,2023-10-25,0,https://www.basketball-reference.com/req/202106291/images/headshots/wallaca01.jpg,193,87,Dallas Mavericks,2023,1st round
Isaiah Stewart, Center, Right,2001-05-22,Washington,2020-12-28,3,https://www.basketball-reference.com/req/202106291/images/headshots/stewais01.jpg,203,113,Portland Trail Blazers,2020,1st round
Chuma Okeke, Small Forward and Power Forward, Right,1998-08-18,Auburn,2020-12-23,3,https://www.basketball-reference.com/req/202106291/images/headshots/okekech01.jpg,198,103,Orlando Magic,2019,1st round
Davion Mitchell, Point Guard, Right,1998-09-05,No College,2021-10-20,2,https://www.basketball-reference.com/req/202106291/images/headshots/mitchda01.jpg,188,92,Sacramento Kings,2021,1st round
Johnny Davis, Shooting Guard, Right,2002-02-27,Wisconsin,2022-10-25,1,https://www.basketball-reference.com/req/202106291/images/headshots/davisjo06.jpg,196,88,Washington Wizards,2022,1st round
Jalen Smith, Power Forward and Center, Right,2000-03-16,Maryland,2020-12-23,3,https://www.basketball-reference.com/req/202106291/images/headshots/smithja04.jpg,208,97,Phoenix Suns,2020,1st round
Jett Howard, Small Forward, Right,2003-09-14,Michigan,2023-10-25,0,https://www.basketball-reference.com/req/202106291/images/headshots/howarje01.jpg,203,97,Orlando Magic,2023,1st round
Aleksej Pokusevski, Power Forward, Right,2001-12-26,No College,2020-12-26,3,https://www.basketball-reference.com/req/202106291/images/headshots/pokusal01.jpg,213,86,Minnesota Timberwolves,2020,1st round
Nick Richards, Center and Power Forward, Right,1997-11-29,Kentucky,2020-12-30,3,https://www.basketball-reference.com/req/202106291/images/headshots/richani01.jpg,213,111,New Orleans Pelicans,2020,2nd round
Shake Milton, Shooting Guard, Right,1996-09-26,SMU,2018-11-30,5,https://www.basketball-reference.com/req/202106291/images/headshots/miltosh01.jpg,196,92,Dallas Mavericks,2018,2nd round
Mason Plumlee, Center,,1990-03-05,Duke,2013-11-03,10,https://www.basketball-reference.com/req/202106291/images/headshots/plumlma01.jpg,211,115,Brooklyn Nets,2013,1st round
Reggie Jackson, Point Guard and Shooting Guard, Right,1990-04-16,Boston College,2011-12-31,12,https://www.basketball-reference.com/req/202106291/images/headshots/jacksre01.jpg,188,94,Oklahoma City Thunder,2011,1st round
Ziaire Williams, Small Forward, Right,2001-09-12,Stanford,2021-10-20,2,https://www.basketball-reference.com/req/202106291/images/headshots/willizi02.jpg,203,97,New Orleans Pelicans,2021,1st round
Ousmane Dieng, Power Forward, Right,2003-05-21,No College,2022-10-19,1,https://www.basketball-reference.com/req/202106291/images/headshots/diengou01.jpg,208,97,New York Knicks,2022,1st round
Dereck Lively II, Center, Right,2004-02-12,Duke,2023-10-25,0,https://www.basketball-reference.com/req/202106291/images/headshots/livelde01.jpg,216,104,Oklahoma City Thunder,2023,1st round
Josh Green, Shooting Guard, Right,2000-11-16,Arizona,2020-12-23,3,https://www.basketball-reference.com/req/202106291/images/headshots/greenjo02.jpg,196,90,Dallas Mavericks,2020,1st round
Jarred Vanderbilt, Power Forward, Left,1999-04-03,Kentucky,2019-01-25,5,https://www.basketball-reference.com/req/202106291/images/headshots/vandeja01.jpg,206,97,Orlando Magic,2018,2nd round
Nickeil Alexander-Walker, Shooting Guard, Right,1998-09-02,Virginia Tech,2019-10-22,4,https://www.basketball-reference.com/req/202106291/images/headshots/alexani01.jpg,198,92,Brooklyn Nets,2019,1st round
James Bouknight, Shooting Guard, Right,2000-09-18,UConn,2021-10-22,2,https://www.basketball-reference.com/req/202106291/images/headshots/bouknja01.jpg,196,86,Charlotte Hornets,2021,1st round
Jalen Williams, Shooting Guard, Right,2001-04-14,Santa Clara,2022-10-19,1,https://www.basketball-reference.com/req/202106291/images/headshots/willija06.jpg,198,88,Oklahoma City Thunder,2022,1st round
Saddiq Bey, Small Forward, Right,1999-04-09,Villanova,2020-12-26,3,https://www.basketball-reference.com/req/202106291/images/headshots/beysa01.jpg,201,97,Brooklyn Nets,2020,1st round
Gradey Dick, Shooting Guard, Right,2003-11-20,Kansas,2023-10-25,0,https://www.basketball-reference.com/req/202106291/images/headshots/dickgr01.jpg,203,92,Toronto Raptors,2023,1st round
Jalen McDaniels, Small Forward, Right,1998-01-31,San Diego State,2019-10-25,4,https://www.basketball-reference.com/req/202106291/images/headshots/mcdanja01.jpg,206,92,Charlotte Hornets,2019,2nd round
Taurean Prince, Power Forward and Small Forward, Right,1994-03-22,Baylor,2016-10-27,7,https://www.basketball-reference.com/req/202106291/images/headshots/princta02.jpg,201,98,Utah Jazz,2016,1st round
Precious Achiuwa, Center and Power Forward, Right,1999-09-19,Memphis,2020-12-23,3,https://www.basketball-reference.com/req/202106291/images/headshots/achiupr01.jpg,203,102,Miami Heat,2020,1st round
Tyrese Maxey, Shooting Guard and Point Guard, Right,2000-11-04,Kentucky,2020-12-23,3,https://www.basketball-reference.com/req/202106291/images/headshots/maxeyty01.jpg,188,90,Philadelphia 76ers,2020,1st round
Joshua Primo, Shooting Guard and Small Forward, Right,2002-12-24,Alabama,2021-10-20,2,https://www.basketball-reference.com/req/202106291/images/headshots/primojo01.jpg,198,86,San Antonio Spurs,2021,1st round
Jalen Duren, Center, Right,2003-11-18,Memphis,2022-10-19,1,https://www.basketball-reference.com/req/202106291/images/headshots/durenja01.jpg,208,113,Charlotte Hornets,2022,1st round
Dewayne Dedmon, Center, Right,1989-08-12,USC,2013-11-18,10,https://www.basketball-reference.com/req/202106291/images/headshots/dedmode01.jpg,213,111,Not Drafted,Not Drafted,Not Drafted
Danuel House Jr., Small Forward and Shooting Guard, Right,1993-06-07,Texas A&amp;M,2016-11-11,7,https://www.basketball-reference.com/req/202106291/images/headshots/houseda01.jpg,198,99,Not Drafted,Not Drafted,Not Drafted
Jordan Hawkins, Shooting Guard, Right,2002-04-29,UConn,2023-10-25,0,https://www.basketball-reference.com/req/202106291/images/headshots/hawkijo01.jpg,196,88,New Orleans Pelicans,2023,1st round
Zeke Nnaji, Power Forward, Right,2001-01-09,Arizona,2020-12-28,3,https://www.basketball-reference.com/req/202106291/images/headshots/nnajize01.jpg,206,108,Denver Nuggets,2020,1st round
Immanuel Quickley, Shooting Guard and Point Guard, Right,1999-06-17,Kentucky,2020-12-23,3,https://www.basketball-reference.com/req/202106291/images/headshots/quickim01.jpg,190,86,Oklahoma City Thunder,2020,1st round
Chris Duarte, Small Forward and Shooting Guard, Right,1997-06-13,Oregon,2021-10-20,2,https://www.basketball-reference.com/req/202106291/images/headshots/duartch01.jpg,198,86,Indiana Pacers,2021,1st round
Ochai Agbaji, Shooting Guard, Right,2000-04-20,Kansas,2022-10-19,1,https://www.basketball-reference.com/req/202106291/images/headshots/agbajoc01.jpg,196,97,Cleveland Cavaliers,2022,1st round
Kobe Bufkin, Shooting Guard, Left,2003-09-21,Michigan,,0,https://www.basketball-reference.com/req/202106291/images/headshots/bufkiko01.jpg,193,88,Atlanta Hawks,2023,1st round
Payton Pritchard, Point Guard and Shooting Guard, Right,1998-01-28,Oregon,2020-12-23,3,https://www.basketball-reference.com/req/202106291/images/headshots/pritcpa01.jpg,185,88,Boston Celtics,2020,1st round
Seth Curry, Shooting Guard and Point Guard, Right,1990-08-23,No College,2014-01-05,9,https://www.basketball-reference.com/req/202106291/images/headshots/curryse01.jpg,188,83,Not Drafted,Not Drafted,Not Drafted
Dwight Powell, Center and Power Forward, Right,1991-07-20,Stanford,2014-11-14,9,https://www.basketball-reference.com/req/202106291/images/headshots/poweldw01.jpg,208,108,2014 NBA Draft,2014,2nd round
Troy Brown Jr., Small Forward, Right,1999-07-28,Oregon,2018-10-24,5,https://www.basketball-reference.com/req/202106291/images/headshots/browntr01.jpg,198,97,Washington Wizards,2018,1st round
Moses Moody, Shooting Guard, Right,2002-05-31,Arkansas,2021-10-19,2,https://www.basketball-reference.com/req/202106291/images/headshots/moodymo01.jpg,198,92,Golden State Warriors,2021,1st round
Mark Williams, Center, Right,2001-12-16,Duke,2022-10-19,1,https://www.basketball-reference.com/req/202106291/images/headshots/willima07.jpg,216,109,Charlotte Hornets,2022,1st round
Jaden McDaniels, Small Forward and Power Forward, Right,2000-09-29,Washington,2020-12-27,3,https://www.basketball-reference.com/req/202106291/images/headshots/mcdanja02.jpg,206,83,Los Angeles Lakers,2020,1st round
Keyonte George, Shooting Guard, Right,2003-11-08,Baylor,2023-10-25,0,https://www.basketball-reference.com/req/202106291/images/headshots/georgke01.jpg,193,83,Utah Jazz,2023,1st round
Malachi Flynn, Point Guard, Right,1998-05-10,No College,2020-12-23,3,https://www.basketball-reference.com/req/202106291/images/headshots/flynnma01.jpg,185,79,Toronto Raptors,2020,1st round
Desmond Bane, Shooting Guard, Right,1998-06-25,TCU,2020-12-23,3,https://www.basketball-reference.com/req/202106291/images/headshots/banede01.jpg,196,97,Boston Celtics,2020,1st round
Russell Westbrook, Point Guard, Right,1988-11-12,UCLA,2008-10-29,15,https://www.basketball-reference.com/req/202106291/images/headshots/westbru01.jpg,190,90,Seattle SuperSonics,2008,1st round
Kevin Love, Power Forward and Center, Right,1988-09-07,UCLA,2008-10-29,15,https://www.basketball-reference.com/req/202106291/images/headshots/loveke01.jpg,203,113,Memphis Grizzlies,2008,1st round
Corey Kispert, Small Forward, Right,1999-03-03,Gonzaga,2021-10-22,2,https://www.basketball-reference.com/req/202106291/images/headshots/kispeco01.jpg,201,99,Washington Wizards,2021,1st round
AJ Griffin, Small Forward, Right,2003-08-25,Duke,2022-10-23,1,https://www.basketball-reference.com/req/202106291/images/headshots/griffaj01.jpg,198,100,Atlanta Hawks,2022,1st round
Jalen Hood-Schifino, Shooting Guard, Right,2003-06-19,Indiana,,0,https://www.basketball-reference.com/req/202106291/images/headshots/hoodsja01.jpg,198,97,Los Angeles Lakers,2023,1st round
Amir Coffey, Shooting Guard and Small Forward, Left,1997-06-17,Minnesota,2019-12-31,4,https://www.basketball-reference.com/req/202106291/images/headshots/coffeam01.jpg,201,95,Not Drafted,Not Drafted,Not Drafted
Alperen Şengün, Center, Right,2002-07-25,No College,2021-10-20,2,https://www.basketball-reference.com/req/202106291/images/headshots/sengual01.jpg,206,106,Oklahoma City Thunder,2021,1st round
Tari Eason, Power Forward, Right,2001-05-10,No College,2022-10-19,1,https://www.basketball-reference.com/req/202106291/images/headshots/easonta01.jpg,203,97,Houston Rockets,2022,1st round
Jaime Jaquez Jr., Small Forward, Right,2001-02-18,UCLA,2023-10-25,0,https://www.basketball-reference.com/req/202106291/images/headshots/jaqueja01.jpg,201,102,Miami Heat,2023,1st round
Mike Muscala, Center and Power Forward, Right,1991-07-01,Bucknell,2014-03-02,10,https://www.basketball-reference.com/req/202106291/images/headshots/muscami01.jpg,208,108,Dallas Mavericks,2013,2nd round
Andre Drummond, Center, Right,1993-08-10,UConn,2012-10-31,11,https://www.basketball-reference.com/req/202106291/images/headshots/drumman01.jpg,208,126,Detroit Pistons,2012,1st round
Derrick Jones Jr., Small Forward and Power Forward, Left,1997-02-15,UNLV,2016-11-19,7,https://www.basketball-reference.com/req/202106291/images/headshots/jonesde02.jpg,196,95,Not Drafted,Not Drafted,Not Drafted
Trey Murphy III, Small Forward, Right,2000-06-18,No College,2021-10-20,2,https://www.basketball-reference.com/req/202106291/images/headshots/murphtr02.jpg,206,93,Memphis Grizzlies,2021,1st round
Brandin Podziemski, Shooting Guard, Left,2003-02-25,No College,,0,https://www.basketball-reference.com/req/202106291/images/headshots/podzibr01.jpg,196,92,Golden State Warriors,2023,1st round
Dalen Terry, Shooting Guard, Right,2002-07-12,Arizona,2022-10-22,1,https://www.basketball-reference.com/req/202106291/images/headshots/terryda01.jpg,201,88,Chicago Bulls,2022,1st round
Cam Whitmore, Small Forward, Right,2004-07-08,Villanova,2023-10-25,0,https://www.basketball-reference.com/req/202106291/images/headshots/whitmca01.jpg,201,105,Houston Rockets,2023,1st round
Jake LaRavia, Power Forward, Right,2001-11-03,No College,2022-10-19,1,https://www.basketball-reference.com/req/202106291/images/headshots/laravja01.jpg,203,106,Minnesota Timberwolves,2022,1st round
Derrick Rose, Point Guard, Right,1988-10-04,Memphis,2008-10-28,14,https://www.basketball-reference.com/req/202106291/images/headshots/rosede01.jpg,190,90,Chicago Bulls,2008,1st round
Eric Gordon, Shooting Guard and Small Forward, Right,1988-12-25,Indiana,2008-10-29,15,https://www.basketball-reference.com/req/202106291/images/headshots/gordoer01.jpg,190,97,Los Angeles Clippers,2008,1st round
Tre Mann, Point Guard, Right,2001-02-03,Florida,2021-10-20,2,https://www.basketball-reference.com/req/202106291/images/headshots/manntr01.jpg,190,80,Oklahoma City Thunder,2021,1st round
Noah Clowney, Power Forward, Right,2004-07-14,Alabama,,0,https://www.basketball-reference.com/req/202106291/images/headshots/clownno01.jpg,208,95,Brooklyn Nets,2023,1st round
Malaki Branham, Shooting Guard, Right,2003-05-12,Ohio State,2022-10-30,1,https://www.basketball-reference.com/req/202106291/images/headshots/branhma01.jpg,196,81,San Antonio Spurs,2022,1st round
Kai Jones, Center, Right,2001-01-19,Texas,2021-10-22,2,https://www.basketball-reference.com/req/202106291/images/headshots/joneska01.jpg,211,98,New York Knicks,2021,1st round
Simone Fontecchio, Small Forward, Right,1995-12-09,No College,2022-10-19,1,https://www.basketball-reference.com/req/202106291/images/headshots/fontesi01.jpg,203,94,Not Drafted,Not Drafted,Not Drafted
Julian Champagnie, Small Forward, Right,2001-06-29,St. John\'s,2022-11-22,1,https://www.basketball-reference.com/req/202106291/images/headshots/champju02.jpg,203,99,Not Drafted,Not Drafted,Not Drafted
Jordan Nwora, Small Forward, Right,1998-09-09,Louisville,2020-12-25,3,https://www.basketball-reference.com/req/202106291/images/headshots/nworajo01.jpg,203,102,Milwaukee Bucks,2020,2nd round
Dante Exum, Point Guard and Shooting Guard, Right,1995-07-13,No College,2014-10-29,0,https://www.basketball-reference.com/req/202106291/images/headshots/exumda01.jpg,196,97,Utah Jazz,2014,1st round
Dariq Whitehead, Small Forward, Right,2004-08-01,Duke,,0,https://www.basketball-reference.com/req/202106291/images/headshots/whiteda01.jpg,201,99,Brooklyn Nets,2023,1st round
Christian Braun, Shooting Guard, Right,2001-04-17,Kansas,2022-10-19,1,https://www.basketball-reference.com/req/202106291/images/headshots/braunch01.jpg,201,98,Denver Nuggets,2022,1st round
Jalen Johnson, Small Forward and Power Forward, Right,2001-12-18,Duke,2021-10-21,2,https://www.basketball-reference.com/req/202106291/images/headshots/johnsja05.jpg,206,99,Atlanta Hawks,2021,1st round
Josh Richardson, Shooting Guard and Small Forward, Right,1993-09-15,Tennessee,2015-11-05,8,https://www.basketball-reference.com/req/202106291/images/headshots/richajo01.jpg,196,90,Miami Heat,2015,2nd round
Kris Murray, Small Forward, Left,2000-08-19,Iowa,2023-10-25,0,https://www.basketball-reference.com/req/202106291/images/headshots/murrakr01.jpg,203,99,Portland Trail Blazers,2023,1st round
Andrew Nicholson, Power Forward, Right,1989-12-08,St. Bonaventure,2012-11-02,0,https://www.basketball-reference.com/req/202106291/images/headshots/nichoan01.jpg,206,113,Orlando Magic,2012,1st round
Walker Kessler, Center, Right,2001-07-26,No College,2022-10-19,1,https://www.basketball-reference.com/req/202106291/images/headshots/kesslwa01.jpg,216,111,Memphis Grizzlies,2022,1st round
Josh Okogie, Shooting Guard, Right,1998-09-01,Georgia Tech,2018-10-20,5,https://www.basketball-reference.com/req/202106291/images/headshots/okogijo01.jpg,193,96,Minnesota Timberwolves,2018,1st round
Keon Johnson, Shooting Guard, Right,2002-03-10,Tennessee,2021-11-07,2,https://www.basketball-reference.com/req/202106291/images/headshots/johnske07.jpg,196,84,New York Knicks,2021,1st round
Omer Yurtseven, Center, Right,1998-06-19,No College,2021-10-21,2,https://www.basketball-reference.com/req/202106291/images/headshots/yurtsom01.jpg,213,119,Not Drafted,Not Drafted,Not Drafted
Olivier-Maxence Prosper, Power Forward, Right,2002-07-03,No College,,0,https://www.basketball-reference.com/req/202106291/images/headshots/prospol01.jpg,203,104,Sacramento Kings,2023,1st round
David Roddy, Power Forward, Right,2001-03-27,Colorado State,2022-10-19,1,https://www.basketball-reference.com/req/202106291/images/headshots/roddyda01.jpg,198,115,Philadelphia 76ers,2022,1st round
Christian Wood, Power Forward and Center, Right,1995-09-27,UNLV,2015-10-28,7,https://www.basketball-reference.com/req/202106291/images/headshots/woodch01.jpg,208,97,Not Drafted,Not Drafted,Not Drafted
Isaiah Jackson, Center, Right,2002-01-10,Kentucky,2021-10-23,2,https://www.basketball-reference.com/req/202106291/images/headshots/jacksis01.jpg,208,93,Los Angeles Lakers,2021,1st round
Marcus Sasser, Point Guard, Right,2000-09-21,Houston,2023-10-25,0,https://www.basketball-reference.com/req/202106291/images/headshots/sassema01.jpg,188,88,Memphis Grizzlies,2023,1st round
MarJon Beauchamp, Small Forward, Right,2000-10-12,Yakima Valley Community College,2022-10-22,1,https://www.basketball-reference.com/req/202106291/images/headshots/beaucma01.jpg,198,90,Milwaukee Bucks,2022,1st round
Charles Bassey, Center, Right,2000-10-28,Western Kentucky,2021-10-20,2,https://www.basketball-reference.com/req/202106291/images/headshots/bassech01.jpg,211,106,Philadelphia 76ers,2021,2nd round
Usman Garuba, Power Forward and Center, Right,2002-03-09,No College,2021-10-20,2,https://www.basketball-reference.com/req/202106291/images/headshots/garubus01.jpg,203,99,Houston Rockets,2021,1st round
Damian Jones, Center, Right,1995-06-30,Vanderbilt,2016-12-10,7,https://www.basketball-reference.com/req/202106291/images/headshots/jonesda03.jpg,211,111,Golden State Warriors,2016,1st round
Kris Dunn, Point Guard, Right,1994-03-18,Providence,2016-10-26,7,https://www.basketball-reference.com/req/202106291/images/headshots/dunnkr01.jpg,190,92,Minnesota Timberwolves,2016,1st round
Bruno Fernando, Center, Right,1998-08-15,Maryland,2019-10-24,4,https://www.basketball-reference.com/req/202106291/images/headshots/fernabr01.jpg,206,108,Philadelphia 76ers,2019,2nd round
Willy Hernangómez, Center, Right,1994-05-27,No College,2016-10-25,7,https://www.basketball-reference.com/req/202106291/images/headshots/hernawi01.jpg,211,113,Philadelphia 76ers,2015,2nd round
Ben Sheppard, Shooting Guard, Right,2001-07-16,Belmont,2023-10-25,0,https://www.basketball-reference.com/req/202106291/images/headshots/sheppbe01.jpg,198,86,Indiana Pacers,2023,1st round
Thomas Bryant, Center, Right,1997-07-31,Indiana,2017-12-23,6,https://www.basketball-reference.com/req/202106291/images/headshots/bryanth01.jpg,208,112,Utah Jazz,2017,2nd round
Torrey Craig, Small Forward and Power Forward, Right,1990-12-19,USC Upstate,2017-11-28,6,https://www.basketball-reference.com/req/202106291/images/headshots/craigto01.jpg,201,100,Not Drafted,Not Drafted,Not Drafted
Damion Lee, Shooting Guard, Right,1992-10-21,No College,2018-03-13,6,https://www.basketball-reference.com/req/202106291/images/headshots/leeda03.jpg,196,95,Not Drafted,Not Drafted,Not Drafted
Blake Wesley, Shooting Guard, Right,2003-03-16,Notre Dame,2022-10-28,1,https://www.basketball-reference.com/req/202106291/images/headshots/weslebl01.jpg,196,83,San Antonio Spurs,2022,1st round
Josh Christopher, Shooting Guard, Right,2001-12-08,Arizona State,2021-10-20,2,https://www.basketball-reference.com/req/202106291/images/headshots/chrisjo01.jpg,196,97,Houston Rockets,2021,1st round
Nick Smith Jr., Shooting Guard, Right,2004-04-18,Arkansas,2023-10-25,0,https://www.basketball-reference.com/req/202106291/images/headshots/smithni01.jpg,196,83,Charlotte Hornets,2023,1st round
