Name,Position,Shoots,Date Born,College,NBA Debut,Experience,Player Image,Height,Weight,Draft Team,Draft Year,Draft Round
Marcus Morris, Power Forward and Small Forward, Right,1989-09-02,Kansas,2011-12-26,12,https://www.basketball-reference.com/req/202106291/images/headshots/morrima03.jpg,203,98,Houston Rockets,2011,1st round
Harrison Barnes, Power Forward and Small Forward, Right,1992-05-30,UNC,2012-10-31,11,https://www.basketball-reference.com/req/202106291/images/headshots/barneha02.jpg,203,102,Golden State Warriors,2012,1st round
Dāvis Bertāns, Power Forward, Right,1992-11-12,No College,2016-10-25,7,https://www.basketball-reference.com/req/202106291/images/headshots/bertada01.jpg,208,102,Indiana Pacers,2011,2nd round
Markelle Fultz, Point Guard and Shooting Guard, Right,1998-05-29,Washington,2017-10-18,6,https://www.basketball-reference.com/req/202106291/images/headshots/fultzma01.jpg,190,94,Philadelphia 76ers,2017,1st round
Jusuf Nurkić, Center, Right,1994-08-23,No College,2014-10-29,9,https://www.basketball-reference.com/req/202106291/images/headshots/nurkiju01.jpg,211,131,Chicago Bulls,2014,1st round
P.J. Washington, Power Forward and Center, Right,1998-08-23,Kentucky,2019-10-23,4,https://www.basketball-reference.com/req/202106291/images/headshots/washipj01.jpg,201,104,Charlotte Hornets,2019,1st round
Kevin Porter Jr.," Point Guard, Shooting Guard, and Small Forward", Left,2000-05-04,USC,2019-10-23,4,https://www.basketball-reference.com/req/202106291/images/headshots/porteke02.jpg,193,92,Milwaukee Bucks,2019,1st round
Rui Hachimura, Power Forward, Right,1998-02-08,Gonzaga,2019-10-23,4,https://www.basketball-reference.com/req/202106291/images/headshots/hachiru01.jpg,203,104,Washington Wizards,2019,1st round
Mitchell Robinson, Center, Right,1998-04-01,Western Kentucky,2018-10-17,5,https://www.basketball-reference.com/req/202106291/images/headshots/robinmi01.jpg,213,108,New York Knicks,2018,2nd round
Kevin Huerter, Shooting Guard and Small Forward, Right,1998-08-27,Maryland,2018-10-17,5,https://www.basketball-reference.com/req/202106291/images/headshots/huertke01.jpg,201,86,Atlanta Hawks,2018,1st round
Jonas Valančiūnas, Center, Right,1992-05-06,No College,2012-10-31,11,https://www.basketball-reference.com/req/202106291/images/headshots/valanjo01.jpg,211,120,Toronto Raptors,2011,1st round
Caris LeVert, Shooting Guard and Small Forward, Right,1994-08-25,Michigan,2016-12-07,7,https://www.basketball-reference.com/req/202106291/images/headshots/leverca01.jpg,198,92,Indiana Pacers,2016,1st round
Luguentz Dort, Small Forward and Shooting Guard, Right,1999-04-19,Arizona State,2019-12-06,4,https://www.basketball-reference.com/req/202106291/images/headshots/dortlu01.jpg,190,97,Not Drafted,Not Drafted,Not Drafted
Luke Kennard, Shooting Guard, Left,1996-06-24,Duke,2017-10-20,6,https://www.basketball-reference.com/req/202106291/images/headshots/kennalu01.jpg,196,93,Detroit Pistons,2017,1st round
Kentavious Caldwell-Pope, Shooting Guard, Right,1993-02-18,Georgia,2013-10-30,10,https://www.basketball-reference.com/req/202106291/images/headshots/caldwke01.jpg,196,92,Detroit Pistons,2013,1st round
Max Strus, Small Forward, Right,1996-03-28,No College,2019-11-22,4,https://www.basketball-reference.com/req/202106291/images/headshots/strusma01.jpg,196,97,Not Drafted,Not Drafted,Not Drafted
Tyus Jones, Point Guard, Right,1996-05-10,Duke,2015-11-10,8,https://www.basketball-reference.com/req/202106291/images/headshots/jonesty01.jpg,183,88,Cleveland Cavaliers,2015,1st round
Dorian Finney-Smith, Power Forward and Small Forward, Right,1993-05-04,Florida,2016-10-26,7,https://www.basketball-reference.com/req/202106291/images/headshots/finnedo01.jpg,201,99,Not Drafted,Not Drafted,Not Drafted
Doug McDermott, Small Forward and Power Forward, Right,1992-01-03,Creighton,2014-10-29,9,https://www.basketball-reference.com/req/202106291/images/headshots/mcderdo01.jpg,201,102,Denver Nuggets,2014,1st round
Anthony Edwards, Shooting Guard, Right,2001-08-05,Georgia,2020-12-23,3,https://www.basketball-reference.com/req/202106291/images/headshots/edwaran01.jpg,193,102,Minnesota Timberwolves,2020,1st round
Wendell Carter Jr., Center and Power Forward, Right,1999-04-16,Duke,2018-10-18,5,https://www.basketball-reference.com/req/202106291/images/headshots/cartewe01.jpg,208,122,Chicago Bulls,2018,1st round
Gary Harris, Shooting Guard, Right,1994-09-14,Michigan State,2014-11-14,9,https://www.basketball-reference.com/req/202106291/images/headshots/harriga01.jpg,193,95,Chicago Bulls,2014,1st round
Josh Hart, Small Forward and Shooting Guard, Right,1995-03-06,Villanova,2017-10-20,6,https://www.basketball-reference.com/req/202106291/images/headshots/hartjo01.jpg,196,97,Utah Jazz,2017,1st round
Naz Reid, Center, Right,1999-08-26,LSU,2019-12-08,4,https://www.basketball-reference.com/req/202106291/images/headshots/reidna01.jpg,206,119,Not Drafted,Not Drafted,Not Drafted
Steven Adams, Center, Right,1993-07-20,Pitt,2013-10-30,10,https://www.basketball-reference.com/req/202106291/images/headshots/adamsst01.jpg,211,120,Oklahoma City Thunder,2013,1st round
Brandon Clarke, Power Forward, Right,1996-09-19,No College,2019-10-23,4,https://www.basketball-reference.com/req/202106291/images/headshots/clarkbr01.jpg,203,97,Oklahoma City Thunder,2019,1st round
Marvin Bagley III, Power Forward and Center, Left,1999-03-14,Duke,2018-10-17,5,https://www.basketball-reference.com/req/202106291/images/headshots/baglema01.jpg,211,106,Sacramento Kings,2018,1st round
Grant Williams, Power Forward, Right,1998-11-30,Tennessee,2019-10-23,4,https://www.basketball-reference.com/req/202106291/images/headshots/willigr01.jpg,198,107,Boston Celtics,2019,1st round
Dennis Schröder, Point Guard and Shooting Guard, Right,1993-09-15,No College,2013-10-30,10,https://www.basketball-reference.com/req/202106291/images/headshots/schrode01.jpg,190,78,Atlanta Hawks,2013,1st round
Daniel Gafford, Center, Right,1998-10-01,Arkansas,2019-10-26,4,https://www.basketball-reference.com/req/202106291/images/headshots/gaffoda01.jpg,208,106,Chicago Bulls,2019,2nd round
