,Player,2022-23
231,JaVale McGee,5461219
232,Obi Toppin,5348280
233,Franz Wagner,5258280
234,Kendrick Nunn,5250000
235,Hamidou Diallo,5200000
236,Garrett Temple,5155500
237,Cory Joseph,5155500
238,Torrey Craig,5121951
239,Jeremy Sochan,5063520
240,David Nwaba,5022000
241,Nickeil Alexander-Walker,5009633
242,Furkan Korkmaz,5000000
243,Deni Avdija,4916160
244,Davion Mitchell,4833600
245,Johnny Davis,4810320
246,Goga Bitadze,5377520
247,Ish Smith,4725000
248,Dewayne Dedmon,8147040
249,Jalen Smith,4670160
250,Ziaire Williams,4591680
252,Ousmane Dieng,4569840
253,Maurice Harkless,4564980
254,Donte DiVincenzo,4500000
255,Jeff Green,4500000
256,Devin Vassell,4437000
257,Matisse Thybulle,4379527
258,Jarred Vanderbilt,4374000
259,James Bouknight,4362240
260,Brandon Clarke,4343920
261,Jalen Williams,4341480
262,Grant Williams,4306281
263,Darius Bazley,4264629
264,Ty Jerome,4220057
265,Tyrese Haliburton,4215120
266,Nassir Little,4171548
267,Joshua Primo,4144320
268,Jalen Duren,4124280
269,Danuel House Jr.,4105000
270,Justise Winslow,4097561
271,Dylan Windler,4037278
273,Kira Lewis Jr.,4004280
274,Terence Davis,4000000
275,George Hill,4000000
276,Chris Duarte,3936960
277,Jevon Carter,6025000
278,Alex Len,3918600
279,Ochai Agbaji,3918360
280,Jordan Poole,3901399
281,Keldon Johnson,3873025
282,Aaron Nesmith,3804360
283,Moses Moody,3740160
284,Mark Williams,3722040
285,Cole Anthony,3613680
286,Corey Kispert,3552840
287,AJ Griffin,3536160
288,Boban Marjanović,4101478
289,Mike Muscala,3500000
290,Georges Niang,3465000
291,Chuma Okeke,3433320
292,Isaiah Stewart,3433320
294,Amir Coffey,3395062
295,Alperen Şengün,3375360
296,Tari Eason,3359160
297,Aleksej Pokusevski,3261480
298,Kevin Porter Jr.,3217631
299,Trey Murphy III,3206520
300,Simone Fontecchio,3205128
301,Andre Drummond,3200000
302,Derrick Jones Jr.,3200000
303,Dalen Terry,3191400
305,Josh Green,3098400
306,Jake LaRavia,3047640
307,Tre Mann,3046200
308,Kevin Knox,3000000
309,Sterling Brown,3000000
310,Saddiq Bey,2959080
311,Malaki Branham,2925600
312,Kai Jones,2909040
315,Andrew Nicholson,2844430
316,Precious Achiuwa,2840160
317,Christian Braun,2808600
318,Jordan Nwora,2800000
319,Jalen Johnson,2792640
320,Tyrese Maxey,2726880
321,Bruno Fernando,2717391
322,Walker Kessler,2696400
323,Keon Johnson,2681040
324,Trey Lyles,2625000
325,Zeke Nnaji,2617800
326,Charles Bassey,2674742
327,David Roddy,2588640
328,Isaiah Jackson,2573760
329,MarJon Beauchamp,2485200
330,Usman Garuba,2471160
331,Leandro Bolmaro,2471160
332,Willie Cauley-Stein,0
333,Montrezl Harrell,2463490
334,Willy Hernangómez,2443581
336,R.J. Hampton,2898243
337,Blake Wesley,2385480
338,Josh Christopher,2372160
339,Stanley Johnson,3596685
340,Immanuel Quickley,2316240
341,Wendell Moore Jr.,2306520
342,John Konchar,2300000
343,Damian Jones,2298385
344,Quentin Grimes,2277000
345,Andrew Nembhard,2244111
346,Nikola Jović,2239920
347,Payton Pritchard,2239200
348,Vlatko Čančar,2234359
349,Patrick Baldwin Jr.,2226000
350,TyTy Washington Jr.,2210040
351,Bones Hyland,2201520
352,Bol Bol,2200000
353,Peyton Watson,2193960
354,Marquese Chriss,2193920
355,Joe Wieskamp,2720989
357,Udoka Azubuike,2174880
358,Jaden McDaniels,2161440
359,Jordan McLaughlin,2160000
360,Malachi Flynn,2145720
361,Cam Thomas,2138160
362,Luke Kornet,2133278
363,PJ Dozier,539450
364,Desmond Bane,2130240
365,Jaden Springer,2125200
366,Day'Ron Sharpe,2109480
368,Santi Aldama,2094120
369,Frank Ntilikina,2036318
370,Tony Bradley,2036318
371,Kenrich Williams,2000000
372,Caleb Houstan,2000000
373,Jaylin Williams,2000000
374,Jeremiah Robinson-Earl,2000000
376,Garrison Mathews,2000000
378,Shake Milton,1997718
379,Edmond Sumner,1968175
380,Daniel Gafford,1930681
381,Terance Mann,1930681
382,Dean Wade,1930681
383,Isaiah Roby,1930681
384,Jalen McDaniels,1930681
385,Jaylen Nowell,1930681
386,Naz Reid,1930681
387,Lindy Waters III,1927896
388,Chimezie Metu,1910860
389,KZ Okpala,1902133
390,Davon Reed,1902133
391,Juwan Morgan,576230
392,Théo Maledon,1900000
393,Svi Mykhailiuk,3714810
394,Keita Bates-Diop,1878720
