Player,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Fouls Commited Shoot,Fouls Commited Off,Fouls Drawn Shoot,Fouls Drawn Off,PGA,And1,Blkd,Versatility Score,Blocks/Foul Ratio,And1 Efectiveness,AST/TOV Ratio,ORB/DRB,Net Plus Minus,3P Shots Attempted %,2P Shots Attempted %,PF Efficiency,Points per Shot attempted,Starting Percentage
Zeke Nnaji,5,2.1,3.7,0.561,0.3,1.2,0.262,1.8,2.5,0.71,0.605,0.8,1.2,0.645,1.2,1.4,2.6,0.3,0.3,0.4,0.6,2.0,5.2,2023,12.5,0.62,0.332,0.316,10.5,11.2,10.9,3.3,1.1,2.8,12.2,15.2,0.9,0.7,1.6,0.106,-2.7,-0.9,-3.7,-0.3,PF,22,DEN,53.0,13.74,0.0,0.0,0.0,0.23,0.77,-5.8,-11.1,0.11,0.06,1.21,0.32,0.47,0.02,0.85,0.09,0.23,0.5393,0.3306,0.1915,2.727272727272727,0.8571,-1.8,0.3243,0.6757,0.35,1.2162,0.0943
Daishen Nix,7,1.4,4.2,0.342,0.7,2.5,0.286,0.7,1.7,0.423,0.426,0.4,0.6,0.667,0.3,1.4,1.7,2.3,0.5,0.1,1.5,1.0,4.0,2023,5.3,0.447,0.591,0.152,2.1,9.7,5.9,19.2,1.6,0.7,25.4,15.4,-1.5,0.3,-1.2,-0.062,-5.0,-1.5,-6.5,-1.0,PG,20,HOU,57.0,16.04,0.83,0.17,0.0,0.0,0.0,-7.8,0.7,1.04,0.3,0.56,0.09,0.26,0.07,5.33,0.04,0.21,0.4559,0.1786,0.1538,2.2115384615384612,0.2143,-3.5,0.5952,0.4048,0.6,0.8333,0.1228
Georges Niang,1,2.8,6.4,0.442,2.0,4.9,0.401,0.9,1.5,0.576,0.596,0.5,0.6,0.867,0.2,2.1,2.4,1.0,0.4,0.2,0.7,1.9,8.2,2023,10.9,0.61,0.765,0.09,1.5,12.8,7.2,7.3,1.0,0.9,9.4,17.0,1.1,1.4,2.5,0.078,-0.4,-1.0,-1.4,0.2,PF,29,PHI,78.0,19.38,0.0,0.0,0.01,0.94,0.05,1.7,-5.0,0.35,0.09,1.01,0.13,0.26,0.12,2.38,0.1,0.17,0.254,0.198,0.3846,2.857142857142857,0.0952,0.6,0.7656,0.2344,0.3158,1.2188,0.0128
Raul Neto,1,1.2,2.3,0.518,0.3,0.9,0.286,0.9,1.4,0.662,0.573,0.6,0.7,0.912,0.2,0.8,1.0,1.6,0.4,0.1,0.5,1.0,3.3,2023,12.6,0.628,0.382,0.309,2.3,8.4,5.4,21.0,1.7,0.7,16.1,13.2,0.8,0.6,1.5,0.142,-1.7,1.5,-0.2,0.2,PG,30,CLE,48.0,10.52,1.0,0.0,0.0,0.0,0.0,2.7,-3.4,0.35,0.1,0.5,0.02,0.23,0.29,4.0,0.04,0.1,-0.0,0.2,0.1739,4.571428571428572,0.25,-3.2,0.3913,0.6087,0.5,1.1739,0.0208
Aaron Nesmith,60,3.5,8.1,0.427,1.6,4.3,0.366,1.9,3.8,0.496,0.525,1.6,1.9,0.838,0.8,2.9,3.8,1.3,0.8,0.5,1.0,3.2,10.1,2023,10.5,0.566,0.532,0.241,3.8,13.1,8.5,7.4,1.4,1.6,10.3,16.8,0.9,1.1,2.0,0.052,-2.3,-0.7,-3.0,-0.4,SF,23,IND,73.0,24.88,0.0,0.02,0.35,0.63,0.0,-5.4,-3.6,0.47,0.18,1.84,0.15,0.82,0.47,3.26,0.16,0.63,0.7368,0.2717,0.1951,2.765957446808511,0.2759,-1.6,0.5309,0.4691,0.4062,1.0617,0.8219
Andrew Nembhard,63,3.8,8.6,0.441,1.2,3.5,0.35,2.6,5.1,0.504,0.512,0.7,0.8,0.79,0.5,2.2,2.7,4.5,0.9,0.2,1.7,2.4,9.5,2023,10.0,0.528,0.408,0.096,1.9,8.8,5.3,22.4,1.6,0.5,15.8,16.1,0.4,0.8,1.2,0.029,-2.4,-0.8,-3.2,-0.6,SG,23,IND,75.0,27.64,0.29,0.7,0.01,0.0,0.0,-6.2,-5.8,1.12,0.27,1.0,0.09,0.35,0.4,10.76,0.16,0.33,0.6547,0.2,0.4571,4.017857142857142,0.2273,-1.6,0.407,0.593,0.4583,1.0233,0.84
Svi Mykhailiuk,8,2.4,5.4,0.445,1.3,3.1,0.424,1.1,2.3,0.473,0.566,0.8,1.2,0.667,0.5,1.2,1.7,1.7,0.5,0.1,0.8,0.7,6.9,2023,14.0,0.584,0.572,0.225,3.4,8.9,6.1,16.5,1.5,0.7,11.2,19.3,0.5,0.3,0.8,0.081,0.5,-0.7,-0.1,0.2,SF,25,TOT,32.0,14.62,0.01,0.23,0.69,0.07,0.01,1.6,7.2,0.34,0.31,0.41,0.09,0.47,0.09,3.97,0.12,0.34,0.8723,0.2439,0.2553,4.999999999999999,0.4167,1.2,0.5741,0.4259,0.8571,1.1296,0.25
Onyeka Okongwu,18,4.0,6.2,0.638,0.1,0.2,0.308,3.9,6.1,0.647,0.642,1.9,2.5,0.781,2.7,4.5,7.2,1.0,0.7,1.3,1.0,3.1,9.9,2023,19.4,0.678,0.026,0.394,12.7,21.5,17.0,5.8,1.4,4.9,12.2,15.1,4.7,2.4,7.1,0.185,0.0,0.8,0.8,1.3,C,22,ATL,80.0,23.11,0.0,0.0,0.0,0.01,1.0,2.3,3.4,0.28,0.21,2.04,0.39,1.15,0.04,2.55,0.28,0.54,0.0461,0.6373,0.2435,3.571428571428571,0.6,-0.8,0.0317,0.9683,0.6452,1.3065,0.225
Mike Muscala,9,2.1,4.6,0.449,1.3,3.3,0.391,0.8,1.3,0.588,0.587,0.6,0.8,0.769,0.6,2.6,3.2,0.8,0.2,0.4,0.4,1.6,6.1,2023,13.0,0.608,0.709,0.178,4.2,19.1,11.6,7.1,0.8,2.3,6.8,15.1,1.4,1.1,2.5,0.128,-0.3,-0.1,-0.4,0.4,C,31,TOT,63.0,15.0,0.0,0.0,0.0,0.09,0.91,9.0,7.1,0.11,0.05,0.83,0.19,0.29,0.05,1.92,0.02,0.16,0.3025,0.4819,0.069,7.272727272727273,0.2308,-0.2,0.7174,0.2826,0.375,1.1957,0.1429
Keegan Murray,78,4.4,9.8,0.453,2.6,6.3,0.411,1.9,3.5,0.527,0.584,0.8,1.0,0.765,1.1,3.5,4.6,1.2,0.8,0.5,0.8,2.0,12.2,2023,12.3,0.597,0.641,0.104,4.3,13.4,8.9,5.5,1.2,1.5,6.8,15.8,2.6,1.7,4.3,0.087,0.4,-1.0,-0.6,0.8,SF,22,SAC,80.0,29.78,0.0,0.02,0.84,0.14,0.0,1.3,-2.6,0.4,0.14,1.4,0.05,0.52,0.24,2.98,0.19,0.5,0.5,0.3571,0.3654,2.9999999999999996,0.3143,1.4,0.6429,0.3571,0.65,1.1837,0.975
Jamal Murray,65,7.3,16.0,0.454,2.6,6.6,0.398,4.6,9.4,0.494,0.537,2.8,3.3,0.833,0.7,3.2,4.0,6.2,1.0,0.2,2.2,1.6,20.0,2023,18.0,0.571,0.415,0.207,2.7,11.0,6.9,27.5,1.5,0.7,11.3,26.1,3.3,1.9,5.1,0.116,2.6,-1.3,1.3,1.8,PG,25,DEN,65.0,32.82,0.81,0.19,0.0,0.0,0.0,6.2,6.2,1.45,0.45,0.92,0.12,1.0,0.26,14.2,0.14,0.54,0.4862,0.2174,0.14,4.275862068965518,0.2187,3.9,0.4125,0.5875,0.75,1.0625,1.0
Dejounte Murray,74,8.3,17.8,0.464,1.8,5.2,0.344,6.5,12.6,0.514,0.514,2.1,2.6,0.832,0.7,4.5,5.3,6.1,1.5,0.3,2.2,1.4,20.5,2023,17.0,0.54,0.293,0.144,2.1,13.8,7.9,24.0,2.0,0.6,10.2,24.4,2.4,2.3,4.7,0.084,1.1,0.0,1.0,2.1,SG,26,ATL,74.0,36.39,0.29,0.7,0.01,0.0,0.0,-1.2,-5.0,1.15,0.76,0.73,0.08,1.26,0.08,14.08,0.35,0.77,0.6547,0.411,0.2778,5.304347826086957,0.1556,1.1,0.2921,0.7079,1.2857,1.0337,1.0
